radius,layer,lat,lon
125,l2_search,39.325645,-109.632259
125,l2_search,41.012843,-109.996636
125,l2_search,42.696809,-110.380873
125,l2_search,33.559192,-106.538182
125,l2_search,36.974948,-107.068676
125,l2_search,38.673545,-107.354371
125,l2_search,40.367484,-107.655129
125,l2_search,42.057984,-107.972167
125,l2_search,31.123030,-104.275850
125,l2_search,32.849525,-104.472429
125,l2_search,34.567690,-104.678547
125,l2_search,36.278621,-104.894914
125,l2_search,37.983442,-105.122312
125,l2_search,41.379459,-105.613741
125,l2_search,32.104585,-102.447594
125,l2_search,33.829039,-102.602917
125,l2_search,35.545898,-102.765896
125,l2_search,37.256289,-102.937110
125,l2_search,38.961373,-103.117197
125,l2_search,40.662358,-103.306864
125,l2_search,29.585698,-100.362667
125,l2_search,33.055373,-100.570702
125,l2_search,34.777641,-100.682336
125,l2_search,36.493023,-100.799554
125,l2_search,39.907789,-101.052507
125,l2_search,43.309530,-101.333577
125,l2_search,25.242688,-98.359737
125,l2_search,32.247460,-98.582363
125,l2_search,33.974687,-98.644740
125,l2_search,35.694554,-98.710204
125,l2_search,37.408208,-98.778990
125,l2_search,39.116834,-98.851358
125,l2_search,40.821668,-98.927594
125,l2_search,42.524017,-99.008018
125,l2_search,44.225277,-99.092983
125,l2_search,45.926959,-99.182886
125,l2_search,26.152210,-96.596456
125,l2_search,27.914329,-96.609747
125,l2_search,38.290545,-96.703845
125,l2_search,39.997780,-96.722426
125,l2_search,43.404333,-96.762695
125,l2_search,45.106465,-96.784562
125,l2_search,33.995513,-94.677323
125,l2_search,37.429935,-94.610154
125,l2_search,40.844456,-94.535798
125,l2_search,42.547407,-94.495556
125,l2_search,45.951724,-94.408048
125,l2_search,47.656270,-94.360363
125,l2_search,29.625458,-92.882678
125,l2_search,31.365556,-92.810030
125,l2_search,33.096598,-92.733917
125,l2_search,36.535971,-92.570253
125,l2_search,38.246594,-92.482115
125,l2_search,39.952768,-92.389330
125,l2_search,43.356911,-92.188267
125,l2_search,46.759612,-91.963505
125,l2_search,28.687598,-91.071167
125,l2_search,32.165788,-90.839003
125,l2_search,33.891427,-90.714531
125,l2_search,37.321358,-90.446683
125,l2_search,45.828002,-89.641268
125,l2_search,29.466503,-89.151395
125,l2_search,32.931805,-88.825541
125,l2_search,34.651604,-88.650727
125,l2_search,44.862909,-87.392880
125,l2_search,31.941562,-86.986606
125,l2_search,45.556767,-84.906449
125,l2_search,47.248891,-84.577251
125,l2_search,29.188917,-85.441239
125,l2_search,44.523630,-82.748430
125,l2_search,46.209393,-82.362574
125,l2_search,29.871885,-83.456254
125,l2_search,31.596082,-83.163822
125,l2_search,25.307311,-82.375196
125,l2_search,44.042297,-78.167092
125,l2_search,24.195109,-80.790187
125,l2_search,32.836733,-78.989432
125,l2_search,44.581122,-75.622908
125,l2_search,35.088409,-76.383804
125,l2_search,45.076111,-73.034437
125,l2_search,45.526176,-70.404467
125,l2_search,47.166675,-69.653476
125,l2_search,41.030115,-69.977634
125,l2_search,42.667637,-69.269962
125,l2_search,44.300677,-68.523836
125,l2_search,45.930278,-67.736136
125,l2_search,44.672045,-65.898719
62.5,l3_search,36.105503,-122.230468
62.5,l3_search,36.929670,-122.556835
62.5,l3_search,34.229654,-120.488192
62.5,l3_search,35.061344,-120.785232
62.5,l3_search,35.890787,-121.089397
62.5,l3_search,36.718090,-121.400938
62.5,l3_search,33.161872,-119.106348
62.5,l3_search,33.998892,-119.382785
62.5,l3_search,34.833570,-119.665778
62.5,l3_search,35.666017,-119.955556
62.5,l3_search,36.496345,-120.252361
62.5,l3_search,37.324665,-120.556446
62.5,l3_search,32.918458,-118.021841
62.5,l3_search,35.431273,-118.829197
62.5,l3_search,36.264518,-119.111370
62.5,l3_search,37.095774,-119.400460
62.5,l3_search,37.925156,-119.696722
62.5,l3_search,38.752781,-120.000418
62.5,l3_search,39.578766,-120.311827
62.5,l3_search,40.403232,-120.631237
62.5,l3_search,46.142519,-123.118844
62.5,l3_search,46.959466,-123.514662
62.5,l3_search,35.186637,-117.710563
62.5,l3_search,36.022695,-117.978216
62.5,l3_search,36.856776,-118.252427
62.5,l3_search,37.688999,-118.533436
62.5,l3_search,38.519484,-118.821495
62.5,l3_search,39.348349,-119.116865
62.5,l3_search,40.175719,-119.419823
62.5,l3_search,41.001717,-119.730658
62.5,l3_search,45.936264,-121.779285
62.5,l3_search,46.756422,-122.154725
