fid,hospital_pk
"364","050169"
"365","050191"
"366","050373"
"367","050736"
"368","050353"
"369","050738"
"370","050411"
"371","050468"
"372","050091"
"373","050581"
"374","050625"
"375","050663"
"376","050704"
"377","050779"
"378","050776"
"379","050056"
"380","050116"
"381","050104"
"382","050124"
"383","050132"
"384","050138"
"385","050149"
"386","050393"
"387","050235"
"388","050350"
"389","050438"
"390","050485"
"391","050561"
"392","050624"
"393","050740"
"394","050696"
"395","050755"
"396","050763"
"397","050782"
"398","052031"
"399","052038"
"400","052045"
"401","050204"
"402","053309"
"403","050040"
"404","050568"
"405","052043"
"406","050131"
"407","050510"
"408","050360"
"409","051304"
"410","051310"
"411","051325"
"412","050301"
"413","050444"
"414","050528"
"415","051308"
"416","051330"
"417","051303"
"418","050334"
"419","051336"
"420","050145"
"421","050248"
"422","050013"
"423","050009"
"424","050150"
"425","051328"
"426","050230"
"427","050678"
"428","050747"
"429","050526"
"430","052035"
"431","050567"
"432","050780"
"433","050580"
"434","050426"
"435","050543"
"436","050745"
"437","050226"
"438","050069"
"439","050224"
"440","050570"
"441","050603"
"442","050609"
"443","050744"
"444","050746"
"445","053306"
"446","050769"
"447","052039"
"448","053308"
"449","053304"
"450","050551"
"451","050589"
"452","050168"
"453","050309"
"454","050772"
"455","050498"
"456","051300"
"457","051326"
"458","050022"
"459","050292"
"460","050534"
"461","050765"
"462","050102"
"463","050686"
"464","050243"
"465","052052"
"466","050684"
"467","050701"
"468","050775"
"469","050573"
"470","050054"
"471","050329"
"472","050770"
"473","050390"
"474","050423"
"475","050599"
"476","050017"
"477","050425"
"478","050108"
"479","050414"
"480","050674"
"481","053311"
"482","050516"
"483","050590"
"484","052033"
"485","051337"
"486","052049"
"487","050709"
"488","050140"
"489","050778"
"490","050099"
"491","051323"
"492","050129"
"493","050327"
"494","050245"
"495","050300"
"496","051312"
"497","050279"
"498","050517"
"499","050758"
"500","051335"
"501","050298"
"502","050089"
"503","050272"
"504","050586"
"505","052037"
"506","050234"
"507","050424"
"508","052044"
"509","053303"
"510","050026"
"511","050100"
"512","050128"
"513","050222"
"514","050025"
"515","050077"
"516","050324"
"517","050515"
"518","050757"
"519","050503"
"520","050636"
"521","052036"
"522","050024"
"523","050115"
"524","050228"
"525","050668"
"526","050047"
"527","050076"
"528","050454"
"529","050152"
"530","050407"
"531","050457"
"532","050055"
"533","050122"
"534","050118"
"535","050313"
"536","050336"
"537","050084"
"538","050167"
"539","050748"
"540","050016"
"541","050232"
"542","050506"
"543","050633"
"544","050197"
"545","050541"
"546","050070"
"547","050113"
"548","050289"
"549","050007"
"550","051331"
"551","050110"
"552","050107"
"553","050357"
"554","050396"
"555","050380"
"556","050038"
"557","050308"
"558","053305"
"559","050071"
"560","050604"
"561","050125"
"562","050441"
"563","050242"
"564","050714"
"565","050194"
"566","052047"
"567","050764"
"568","050697"
"569","051319"
"570","051316"
"571","050767"
"572","050101"
"573","050367"
"574","050073"
"575","050174"
"576","051321"
"577","052057"
"578","050136"
"579","050090"
"580","050291"
"581","050690"
"582","050557"
"583","050726"
"584","052055"
"585","050179"
"586","050067"
"587","050464"
"588","050766"
"589","050042"
"590","050784"
"591","050546"
"592","050057"
"593","050261"
"594","050335"
"595","050082"
"596","050394"
"597","050549"
"598","050616"
"599","050159"
"600","051334"
"601",718456ab442d5f84683cd24a06376fcd58d33961727e082bf99a4068a256eda7
"602","050236"
"603","050537"
"604","050127"
"605","050133"
"606","060132"
"607","060004"
"608","063301"
"609","060065"
"610","060024"
"611","060008"
"612","060034"
"613","060113"
"614","060100"
"615","061328"
"616","061311"
"617","060003"
"618","060116"
"619","060103"
"620","060027"
"621","060104"
"622","061322"
"623","061343"
"624","061308"
"625","060071"
"626","060107"
"627","060028"
"628","060064"
"629","060011"
"630","062012"
"631","060032"
"632","060014"
"633","060125"
"634","060112"
"635","060114"
"636","060096"
"637","060130"
"638","063303"
"639","060022"
"640","060031"
"641","061344"
"642","060075"
"643","061317"
"644","061318"
"645","061320"
"646","061316"
"647","060009"
"648","060129"
"649","060015"
"650","060124"
"651","061313"
"652","061319"
"653","060013"
"654","060117"
"655","060126"
"656","061312"
"657","062017"
"658","060030"
"659","060010"
"660","060119"
"661","061321"
"662","061306"
"663","060076"
"664","061302"
"665","060023"
"666","060054"
"667","061314"
"668","061327"
"669","060006"
"670","060044"
"671","061303"
"672","061336"
"673","061304"
"674","061305"
"675","061324"
"676","061323"
"677","060020"
"678","060012"
"679","061325"
"680","061307"
"681","061301"
"682","060049"
"683","061310"
"684","061326"
"685","060131"
"686","060128"
"687","060001"
"688","061309"
"689","061315"
"690","070006"
"691","070010"
"692","070018"
"693","070034"
"694","070028"
"695","070033"
"696","070002"
"697","070025"
"698","073300"
"699","070029"
"700","070035"
"701","070036"
"702","072004"
"703","070027"
"704","070004"
"705","070011"
"706","070020"
"707","070031"
"708","070038"
"709","070022"
"710","070017"
"711","070005"
"712","070007"
"713","070024"
"714","070012"
"715","070008"
"716","070021"
"717","070003"
"718","080004"
"719","083300"
"720","080001"
"721","080006"
"722","080009"
"723","080007"
"724",09005E
"725","092003"
"726","090011"
"727","092002"
"728","090001"
"729","090008"
"730","090003"
"731","090004"
"732","090005"
"733","093300"
"734","100113"
"735","100204"
"736","102022"
"737","100134"
"738","100026"
"739","102017"
"740","100242"
"741","100315"
"742","100092"
"743","100028"
"744","102027"
"745","100291"
"746","100316"
"747","100019"
"748","100177"
"749","100200"
"750","100228"
"751","100285"
"752","100281"
"753","100038"
"754","100039"
"755","100276"
"756","100073"
"757","100189"
"758","100289"
"759","100224"
"760","100086"
"761","100167"
"762","100230"
"763","102010"
"764","101304"
"765","100236"
"766","100047"
"767","100077"
"768","100023"
"769","100249"
"770","100321"
"771","102015"
"772","100226"
"773","100018"
"774","100286"
"775","102032"
"776","100156"
"777","100175"
"778","100117"
"779","102012"
"780","100001"
"781","100088"
"782","100040"
"783","100151"
"784","100179"
"785","100307"
"786","100025"
"787","102024"
"788","100231"
"789","100093"
"790","100118"
"791","101305"
"792","100298"
"793","100313"
"794","101300"
"795","101309"
"796","100264"
"797","100071"
"798","100109"
"799","100049"
"800","100259"
"801","100206"
"802","100271"
"803","100069"
"804","100128"
"805","100173"
"806","100132"
"807","102013"
"808","102009"
"809","100243"
"810","101307"
"811","100217"
"812","100105"
"813","100142"
"814","100051"
"815","100084"
"816","100057"
"817","100107"
"818","100012"
"819","100220"
"820","102029"
"821","100254"
"822","102020"
"823","100135"
"824","101311"
"825","100035"
"826","100213"
"827","100299"
"828","100062"
"829","102019"
"830","100212"
"831","100044"
"832","100131"
"833","100181"
"834","100209"
"835","100314"
"836","100050"
"837","100034"
"838","100029"
"839","100183"
"840","102031"
"841","100022"
"842","103301"
"843","100053"
"844","100277"
"845","100296"
"846","100125"
"847","100187"
"848","102001"
"849","100008"
"850","100154"
"851","100079"
"852","100284"
"853","100150"
"854","101313"
"855","101312"
"856","100140"
"857","100054"
"858","100223"
"859","100122"
"860","100252"
"861","100007"
"862","102003"
"863","103304"
"864","100006"
"865","100030"
"866","100302"
"867","100320"
"868","100110"
"869","100176"
"870","100268"
"871","100080"
"872","100269"
"873","100288"
"874","102025"
"875","100130"
"876","100258"
"877","102023"
"878","100002"
"879","100275"
"880","100253"
"881","100287"
"882","100168"
"883","100319"
"884","102026"
"885","100256"
"886","100211"
"887","100046"
"888","100063"
"889","100238"
"890","100248"
"891","103300"
"892","100032"
"893","100055"
"894","100043"
"895","100127"
"896","100180"
"897","102021"
"898","100067"
"899","100126"
"900","100265"
"901","100121"
"902","100137"
"903","100157"
"904","100052"
"905","100099"
"906","100232"
"907","100090"
"908","100260"
"909","100246"
"910","100266"
"911","100048"
"912","100124"
"913","100087"
"914","100070"
"915","100166"
"916","102018"
"917","100267"
"918","100161"
"919","100329"
"920","102028"
"921",10T290
"922","100290"
"923","100106"
"924","101303"
"925","100072"
"926","100068"
"927","102030"
"928","100017"
"929","100014"
"930","100045"
"931","100330"
"932","100292"
"933","100081"
"934","101308"
"935","110071"
"936","111327"
"937","110150"
"938","110045"
"939","110030"
"940","110073"
"941","110234"
"942","110164"
"943","110107"
"944","110201"
"945","111302"
"946","111332"
"947","110075"
"948","110113"
"949","111319"
"950","110146"
"951","111334"
"952","110015"
"953","110011"
"954","110236"
"955","110036"
"956","110043"
"957","110024"
"958","112018"
"959","110230"
"960","110008"
"961","112017"
"962","110074"
"963","110006"
"964","110165"
"965","111308"
"966","110035"
"967","110143"
"968","112007"
"969","110089"
"970","110105"
"971","110101"
"972","110233"
"973","110229"
"974","110104"
"975","110132"
"976","112006"
"977","110226"
"978","113300"
"979","110076"
"980","110010"
"981","110092"
"982","110007"
"983","110184"
"984","111314"
"985","111306"
"986","110109"
"987","110142"
"988","110189"
"989","110215"
"990","110168"
"991","110054"
"992","110005"
"993","110027"
"994","110083"
"995","110161"
"996","110079"
"997","110115"
"998","113301"
"999","110082"
"1000","110198"
"1001","110078"
"1002","110025"
"1003","110023"
"1004","110121"
"1005","111329"
"1006","110087"
"1007","110192"
"1008","110029"
"1009","111320"
"1010","110191"
"1011","110153"
"1012","110069"
"1013","110130"
"1014","111303"
"1015","111333"
"1016","110100"
"1017","111311"
"1018","111326"
"1019","110125"
"1020","111335"
"1021","110122"
"1022","110237"
"1023","110111"
"1024","110190"
"1025","111316"
"1026","111305"
"1027","111331"
"1028","111318"
"1029","111304"
"1030","110050"
"1031","110129"
"1032","110200"
"1033","110064"
"1034","110018"
"1035","110042"
"1036","111310"
"1037","110225"
"1038","111330"
"1039","110135"
"1040","111313"
"1041","111336"
"1042","110028"
"1043","110034"
"1044","110177"
"1045",11L006
"1046","110091"
"1047","111312"
"1048","110194"
"1049","110031"
"1050","110032"
"1051","110044"
"1052","111323"
"1053","110095"
"1054","110128"
"1055","111324"
"1056","110016"
"1057","110051"
"1058","110002"
"1059","110046"
"1060","110003"
"1061","110086"
"1062","110124"
"1063","110001"
"1064","111325"
"1065","111328"
"1066","120005"
"1067","121307"
"1068","120019"
"1069","120001"
"1070","120026"
"1071","123301"
"1072","120004"
"1073","122001"
"1074","120011"
"1075","120022"
"1076","120006"
"1077","120007"
"1078","121304"
"1079","123300"
"1080","120014"
"1081","121306"
"1082","120002"
"1083","121308"
"1084","130071"
"1085","130006"
"1086","130007"
"1087","130028"
"1088","131316"
"1089","131317"
"1090","131325"
"1091","131328"
"1092","130074"
"1093","130018"
"1094","131301"
"1095","131324"
"1096","130013"
"1097","130014"
"1098","131309"
"1099","131326"
"1100","131320"
"1101","131311"
"1102","131322"
"1103","131318"
"1104","131302"
"1105","131321"
"1106","131315"
"1107","131310"
"1108","130049"
"1109","132001"
"1110","131327"
"1111","131305"
"1112","130025"
"1113","131319"
"1114","130003"
"1115","131303"
"1116","131304"
"1117","131314"
"1118","131313"
"1119","130002"
"1120","131308"
"1121","131312"
"1122","131307"
"1123","140137"
"1124","141337"
"1125","140143"
"1126","140113"
"1127","140091"
"1128","141341"
"1129","141339"
"1130","141351"
"1131","140145"
"1132","140189"
"1133","140095"
"1134","140115"
"1135","140117"
"1136","140206"
"1137","140150"
"1138","140158"
"1139","142011"
"1140","140177"
"1141","142010"
"1142","140062"
"1143","140083"
"1144","140048"
"1145","140182"
"1146","140258"
"1147","142008"
"1148","140049"
"1149","142009"
"1150","143300"
"1151","140054"
"1152","140290"
"1153","140068"
"1154","140179"
"1155","140119"
"1156","140133"
"1157","140180"
"1158","140181"
"1159","140208"
"1160","140172"
"1161","140223"
"1162","140224"
"1163","140197"
"1164","140300"
"1165","140251"
"1166","140088"
"1167","140080"
"1168","140063"
"1169","140103"
"1170","140114"
"1171","140124"
"1172","140250"
"1173","140065"
"1174","140252"
"1175","140276"
"1176","140082"
"1177","143302"
"1178","140191"
"1179","140281"
"1180","140008"
"1181","140010"
"1182","141343"
"1183","140286"
"1184","142006"
"1185","141303"
"1186","140288"
"1187","140200"
"1188","140242"
"1189","140231"
"1190","140292"
"1191","140122"
"1192","141320"
"1193","140032"
"1194","141317"
"1195","141321"
"1196","140001"
"1197","141300"
"1198","140101"
"1199","141326"
"1200","141305"
"1201","141319"
"1202","141325"
"1203","140167"
"1204","141334"
"1205","140164"
"1206","140046"
"1207","140294"
"1208","140059"
"1209","141302"
"1210","140211"
"1211","140029"
"1212","140030"
"1213","140174"
"1214","140217"
"1215","140155"
"1216","140186"
"1217","140040"
"1218","140064"
"1219","140084"
"1220","140100"
"1221","140202"
"1222","140130"
"1223","140291"
"1224","140033"
"1225","140110"
"1226","141310"
"1227","140234"
"1228","141344"
"1229","140012"
"1230","140161"
"1231","141322"
"1232","140089"
"1233","140116"
"1234","141335"
"1235","140162"
"1236","140127"
"1237","140135"
"1238","140166"
"1239","141347"
"1240","141306"
"1241","140002"
"1242","140125"
"1243","141336"
"1244","140289"
"1245","141345"
"1246","140034"
"1247","141313"
"1248","141323"
"1249","141304"
"1250","141332"
"1251","141350"
"1252","140058"
"1253","141312"
"1254","140209"
"1255","140013"
"1256","140067"
"1257","142013"
"1258","141307"
"1259","141331"
"1260","141301"
"1261","141315"
"1262","141348"
"1263","141338"
"1264","141349"
"1265","140147"
"1266","140275"
"1267","140280"
"1268","140187"
"1269","140185"
"1270","140077"
"1271","141324"
"1272","140148"
"1273","140053"
"1274","141333"
"1275","140019"
"1276","140160"
"1277","140120"
"1278","141330"
"1279","141342"
"1280","140093"
"1281","141316"
"1282","141327"
"1283","141318"
"1284","141308"
"1285","141311"
"1286","140043"
"1287","141329"
"1288","140007"
"1289","140213"
"1290","140304"
"1291","140011"
"1292","140184"
"1293","140228"
"1294","140239"
"1295","140233"
"1296","141309"
"1297","151330"
"1298","150168"
"1299","150021"
"1300","150150"
"1301","150017"
"1302","150047"
"1303","150112"
"1304","151302"
"1305","150104"
"1306","150072"
"1307","150009"
"1308","151309"
"1309","151316"
"1310","150061"
"1311","150086"
"1312","151332"
"1313","150089"
"1314","150115"
"1315","150026"
"1316","150018"
"1317","150044"
"1318","151313"
"1319","151319"
"1320","150011"
"1321","151317"
"1322","150059"
"1323","150157"
"1324","150161"
"1325","150181"
"1326","150153"
"1327","150037"
"1328","151331"
"1329","150005"
"1330","150158"
"1331","150030"
"1332","150010"
"1333","150007"
"1334","150091"
"1335","150065"
"1336","151324"
"1337","151320"
"1338","151303"
"1339","150001"
"1340","150042"
"1341","150133"
"1342","151323"
"1343","152012"
"1344","152024"
"1345","150165"
"1346","150004"
"1347","150034"
"1348","150008"
"1349","150126"
"1350","150002"
"1351","152028"
"1352","150090"
"1353","150125"
"1354","150166"
"1355","150015"
"1356","150006"
"1357","151328"
"1358","151335"
"1359","151308"
"1360","150088"
"1361","150113"
"1362","150024"
"1363","150160"
"1364","152007"
"1365","150169"
"1366","152013"
"1367","150128"
"1368","150056"
"1369","150084"
"1370","150162"
"1371","152020"
"1372","150074"
"1373","150076"
"1374","151300"
"1375","151318"
"1376","150183"
"1377","150051"
"1378","150022"
"1379","150057"
"1380","150146"
"1381","151306"
"1382","150035"
"1383","151305"
"1384","151333"
"1385","151301"
"1386","151329"
"1387","151304"
"1388","150058"
"1389","150012"
"1390","151334"
"1391","150097"
"1392","150102"
"1393","151315"
"1394","151327"
"1395","150109"
"1396","150173"
"1397","151311"
"1398","150082"
"1399","150100"
"1400","152014"
"1401","151326"
"1402","150023"
"1403","150046"
"1404","151310"
"1405","151307"
"1406","151325"
"1407","150149"
"1408","151314"
"1409","150048"
"1410","150075"
"1411","151312"
"1412","161310"
"1413","161304"
"1414","161318"
"1415","161377"
"1416","161330"
"1417","161349"
"1418","160110"
"1419","160067"
"1420","160040"
"1421","161372"
"1422","161320"
"1423","161339"
"1424","161335"
"1425","161375"
"1426","161350"
"1427","160005"
"1428","161332"
"1429","161376"
"1430","160064"
"1431","161362"
"1432","161331"
"1433","161348"
"1434","160112"
"1435","161312"
"1436","161319"
"1437","161313"
"1438","160080"
"1439","161369"
"1440","161322"
"1441","161327"
"1442","161340"
"1443","161343"
"1444","160057"
"1445","160124"
"1446","161378"
"1447","160069"
"1448","160117"
"1449","161351"
"1450","161316"
"1451","161338"
"1452","161347"
"1453","161308"
"1454","161324"
"1455","161325"
"1456","161303"
"1457","161314"
"1458","161361"
"1459","161307"
"1460","161380"
"1461","161309"
"1462","161356"
"1463","161328"
"1464","161334"
"1465","161354"
"1466","161317"
"1467","161329"
"1468","160032"
"1469","161364"
"1470","160058"
"1471","160029"
"1472","161306"
"1473","161315"
"1474","161353"
"1475","160122"
"1476","160008"
"1477","160079"
"1478","160045"
"1479","161341"
"1480","161321"
"1481","161326"
"1482","161379"
"1483","161355"
"1484","161367"
"1485","160001"
"1486","161323"
"1487","161359"
"1488","161342"
"1489","161363"
"1490","160013"
"1491","161381"
"1492","161300"
"1493","161345"
"1494","161366"
"1495","161352"
"1496","161357"
"1497","161368"
"1498","161305"
"1499","160101"
"1500","162003"
"1501","160082"
"1502","160083"
"1503","160028"
"1504","160047"
"1505","160147"
"1506","161373"
"1507","161370"
"1508","160104"
"1509","162001"
"1510","160033"
"1511","161374"
"1512","161346"
"1513","161311"
"1514","161360"
"1515","161336"
"1516","160030"
"1517","161333"
"1518","161365"
"1519","161337"
"1520","160089"
"1521","161344"
"1522","161358"
"1523","160016"
"1524","161371"
"1525","160153"
"1526","160146"
"1527","161302"
"1528","161301"
"1529","171373"
"1530","171316"
"1531","171382"
"1532","171334"
"1533","171331"
"1534","170191"
"1535","171333"
"1536","171301"
"1537","171341"
"1538","170017"
"1539","170197"
"1540","171318"
"1541","170203"
"1542","171308"
"1543","171310"
"1544","171304"
"1545","171368"
"1546","171371"
"1547","171349"
"1548","171385"
"1549","171312"
"1550","170150"
"1551","171383"
"1552","170006"
"1553","171376"
"1554","171352"
"1555","171340"
"1556","171381"
"1557","170137"
"1558","171317"
"1559","170013"
"1560","171327"
"1561","170023"
"1562","170014"
"1563","170074"
"1564","171367"
"1565","171325"
"1566","170110"
"1567","171359"
"1568","171339"
"1569","171322"
"1570","171346"
"1571","170103"
"1572","171324"
"1573","171369"
"1574","171319"
"1575","171314"
"1576","171309"
"1577","170104"
"1578","173300"
"1579","170185"
"1580","170182"
"1581","170049"
"1582","170176"
"1583","171313"
"1584","171332"
"1585","170120"
"1586","171303"
"1587","170009"
"1588","171360"
"1589","171326"
"1590","171384"
"1591","170075"
"1592","170105"
"1593","171358"
"1594","171356"
"1595","171357"
"1596","171363"
"1597","171321"
"1598","170109"
"1599","171375"
"1600","170145"
"1601","171379"
"1602","171315"
"1603","171380"
"1604","171300"
"1605","171336"
"1606","171348"
"1607","171364"
"1608","171328"
"1609","171345"
"1610","171353"
"1611","171354"
"1612","171337"
"1613","170027"
"1614","171307"
"1615","170020"
"1616","171361"
"1617","171330"
"1618","170142"
"1619","171311"
"1620","171342"
"1621","171350"
"1622","170187"
"1623","170012"
"1624","171372"
"1625","170122"
"1626","170202"
"1627","170204"
"1628","170123"
"1629","170200"
"1630","170068"
"1631","170016"
"1632","170086"
"1633","171347"
"1634","171370"
"1635","171377"
"1636","171323"
"1637","171335"
"1638","171329"
"1639","171362"
"1640","171355"
"1641","171365"
"1642","171351"
"1643","171306"
"1644","171374"
"1645","170146"
"1646","170040"
"1647","180149"
"1648","181324"
"1649","180017"
"1650","180020"
"1651","180154"
"1652","180045"
"1653","180046"
"1654","180009"
"1655","180048"
"1656","180139"
"1657","181319"
"1658","181322"
"1659","180027"
"1660","180001"
"1661","181310"
"1662","181309"
"1663","180051"
"1664","180092"
"1665","180043"
"1666","180106"
"1667","180095"
"1668","181317"
"1669","180038"
"1670","181301"
"1671","180103"
"1672","180067"
"1673","180143"
"1674","180010"
"1675","181332"
"1676","181305"
"1677","180127"
"1678","181311"
"1679","180116"
"1680","180070"
"1681","181325"
"1682","180012"
"1683","180050"
"1684","180079"
"1685","181314"
"1686","180056"
"1687","180093"
"1688","182009"
"1689","180088"
"1690","180040"
"1691","182001"
"1692","180141"
"1693","180130"
"1694","180078"
"1695","180035"
"1696","180080"
"1697","181328"
"1698","182006"
"1699","180011"
"1700","180128"
"1701","181316"
"1702","180002"
"1703","181315"
"1704","181320"
"1705","180066"
"1706","180104"
"1707","182008"
"1708","180102"
"1709","181329"
"1710","180049"
"1711","180024"
"1712","181327"
"1713","180019"
"1714","181302"
"1715","180105"
"1716","180064"
"1717","181307"
"1718","180004"
"1719","180025"
"1720","181323"
"1721","180138"
"1722","180029"
"1723","180069"
"1724","180044"
"1725","180132"
"1726","180115"
"1727","180018"
"1728","181330"
"1729","180101"
"1730","180016"
"1731","181318"
"1732","180087"
"1733","181304"
"1734","181306"
"1735","180124"
"1736","180013"
"1737","181321"
"1738","181308"
"1739","191319"
"1740","190044"
"1741","190106"
"1742","190133"
"1743",764e4176df9f3b110d69f34074f855a151462207109d55c7115326ac3ad0dc5a
"1744","191308"
"1745","191303"
"1746","190099"
"1747","190050"
"1748","191320"
"1749","192006"
"1750","193301"
"1751","190041"
"1752","190278"
"1753","190317"
"1754","192010"
"1755","192011"
"1756","190098"
"1757","191304"
"1758","190111"
"1759","190315"
"1760","190060"
"1761","190013"
"1762","191307"
"1763","190027"
"1764","190201"
"1765","192013"
"1766","190190"
"1767","190307"
"1768","190114"
"1769","192028"
"1770","190118"
"1771","190202"
"1772","192004"
"1773","192041"
"1774","190064"
"1775","190316"
"1776","190251"
"1777","190020"
"1778","190065"
"1779","190128"
"1780","190266"
"1781","190208"
"1782","190167"
"1783","190025"
"1784","190140"
"1785","190054"
"1786","191317"
"1787","190146"
"1788","192015"
"1789","192007"
"1790","190036"
"1791","190302"
"1792","190039"
"1793","190274"
"1794","190053"
"1795","192032"
"1796","192029"
"1797","190006"
"1798","190259"
"1799","190002"
"1800","190102"
"1801","190255"
"1802","190004"
"1803","191324"
"1804","191325"
"1805","191315"
"1806","192022"
"1807","190086"
"1808","192008"
"1809","191314"
"1810","190116"
"1811","192035"
"1812","190007"
"1813","190046"
"1814","190300"
"1815","190313"
"1816","192030"
"1817","192009"
"1818","190005"
"1819","193300"
"1820","190176"
"1821","190125"
"1822","190160"
"1823","192016"
"1824","192031"
"1825","190245"
"1826","192055"
"1827","190011"
"1828","191316"
"1829","192043"
"1830","190019"
"1831","190298"
"1832","192012"
"1833","190026"
"1834","191312"
"1835","190151"
"1836","191323"
"1837","190218"
"1838","190308"
"1839","190079"
"1840","191300"
"1841","191305"
"1842","190017"
"1843","192034"
"1844","190318"
"1845","191302"
"1846","190014"
"1847","191310"
"1848","190256"
"1849","192048"
"1850","190267"
"1851","190270"
"1852","192023"
"1853","190040"
