,GEOID,population
441,32021,4448
442,17057,35418
443,36103,1487901
444,18161,7153
445,29119,22827
446,31157,36255
447,35047,28034
448,1081,159287
449,48367,129802
450,38021,4970
451,38003,10836
452,27143,14912
453,13293,26216
454,6097,501317
455,26033,37834
456,16019,112397
457,13013,76887
458,13183,18156
459,48271,3675
460,40115,31566
461,42033,80216
462,26037,77896
463,72133,22066
464,17135,29009
465,28003,37180
466,28071,53459
467,22043,22348
468,29005,5270
469,17115,106512
470,26149,60897
471,17055,39127
472,30033,1141
473,31001,31583
474,27109,153065
475,34039,553066
476,72139,67780
477,1097,414659
478,46087,5511
479,1057,16585
480,1017,33826
481,37131,20186
482,8081,13060
483,21087,11023
484,18047,22842
485,37013,47243
486,72073,14906
487,38015,93737
488,37159,139605
489,26071,11212
490,27067,42658
491,21237,7223
492,48149,25066
493,46081,25234
494,23029,31694
495,48045,1546
496,26131,5968
497,28015,10129
498,41003,89780
499,27133,9413
500,42063,85755
501,22061,47356
502,42099,45924
503,46137,2814
504,48203,66645
505,26013,8507
506,40131,90814
507,29019,176515
508,72097,77255
509,40015,29342
510,8059,570427
511,54011,95318
512,48383,3752
513,5141,16684
514,8117,30429
515,20035,35591
516,5071,26291
517,36041,4575
518,51045,5113
519,48083,8391
520,2290,5415
521,4017,108705
522,28085,34432
523,48357,10348
524,48103,4839
525,56003,11901
526,47081,24678
527,28143,10170
528,29081,8554
529,72029,46108
530,18005,81893
531,13223,155840
532,39015,43679
533,47141,76440
534,38101,69034
535,25027,822280
536,39091,45307
537,6031,150075
538,6073,3302833
539,72123,28633
540,13079,12344
541,72103,26266
542,29037,102678
543,36027,293894
544,48477,34796
545,8101,164685
546,29067,13374
547,38009,6589
548,37051,332106
549,56017,4680
550,26001,10364
551,6061,380077
552,5129,7923
553,48305,5808
554,36077,60244
555,37153,45189
556,37093,53239
557,31131,15896
558,42023,4686
559,45035,155474
560,27161,18809
561,46015,5256
562,47177,40454
563,17023,15836
564,21201,2143
565,47095,7526
566,45015,209065
567,5051,98296
568,20139,15882
569,39155,201794
570,48333,4902
571,48359,2090
572,42019,186566
573,16049,16337
574,20115,12032
575,51029,17004
576,37025,201448
577,29225,38082
578,49011,340621
579,27033,11372
580,12093,40572
581,13291,22775
582,19013,133009
583,48403,10458
584,39131,28214
585,1125,206213
586,1131,10809
587,28097,10198
588,31099,6552
589,31087,2843
590,10003,555133
591,16081,11080
592,17161,145275
593,51073,37161
594,5133,17193
595,18017,38084
596,16077,7713
597,18015,19994
598,42101,1575522
599,56043,8129
600,37029,10447
601,36109,102962
602,5069,70424
603,5079,13695
604,55123,30516
605,29093,10221
606,48223,36240
607,36001,307426
608,48225,22955
609,39111,14090
610,20165,3102
611,18107,38276
612,20187,2063
613,21129,6751
614,27071,12644
615,48029,1925865
616,8013,321030
617,47089,53247
618,40097,40980
619,27165,10973
620,16013,21994
621,22053,31467
622,46119,1331
623,8031,693417
624,40029,5618
625,30011,1318
626,48461,3634
627,18051,33596
628,31105,3667
629,17093,124626
