GEOID,criteria
26143,Specimen
35043,Persons
39011,NA
46015,NA
46005,NA
48091,Specimen
48393,Specimen
54005,NA
72075,NA
72087,NA
21223,NA
27051,NA
28037,NA
29215,Unknown
21237,NA
48023,Specimen
47067,Unknown
46081,NA
46087,NA
46073,NA
42035,Unknown
51075,NA
47101,Unknown
47113,Unknown
48255,Specimen
27083,NA
47135,Unknown
47147,Unknown
47155,Unknown
55097,Persons
55099,Persons
51037,NA
48047,Specimen
55033,Persons
17075,Specimen
13181,NA
24025,Both
31095,Unknown
31145,Unknown
31181,Unknown
39017,NA
17191,Specimen
19107,Unknown
17199,Specimen
12049,Unknown
13187,NA
12043,Unknown
13183,NA
13195,NA
48481,Specimen
13219,NA
13225,NA
48503,Specimen
51013,NA
56025,Specimen
45083,NA
45081,NA
55131,Persons
53023,Persons
27117,NA
27133,NA
41031,Persons
30107,NA
51109,NA
27147,NA
29131,Unknown
27153,NA
1057,Persons
19071,Unknown
18021,Persons
31013,Unknown
28049,NA
18063,Persons
17145,Specimen
37181,NA
20001,Persons
48093,Specimen
20079,Persons
26057,Specimen
20111,Persons
47159,Unknown
26065,Specimen
26067,Specimen
21141,NA
48127,Specimen
48325,Specimen
21161,NA
26085,Specimen
27067,NA
26107,Specimen
37123,NA
46037,NA
37093,NA
37125,NA
21219,NA
27065,NA
17051,Specimen
17065,Specimen
21233,NA
48129,Specimen
27003,NA
48137,Specimen
40073,NA
48149,Specimen
45003,NA
46011,NA
46103,NA
48009,Specimen
47029,Unknown
48017,Specimen
47043,Unknown
46019,NA
45023,NA
72133,NA
13105,NA
45041,NA
27017,NA
12029,Unknown
27035,NA
26013,Specimen
38081,Persons
20009,Persons
18035,Persons
22093,Unknown
26035,Specimen
38071,Persons
16001,NA
39097,NA
20003,Persons
19039,Unknown
51007,NA
13319,NA
48507,Specimen
39055,NA
21071,NA
48303,Specimen
13273,NA
19035,Unknown
16015,NA
39071,NA
17153,Specimen
27059,NA
13093,NA
27165,NA
5073,Unknown
37003,NA
48425,Specimen
13301,NA
37119,NA
39101,NA
18111,Persons
20091,Persons
19051,Unknown
8063,NA
17105,Specimen
13285,NA
19065,Unknown
20113,Persons
19069,Unknown
1045,Persons
48309,Specimen
12093,Unknown
17129,Specimen
51051,NA
8095,NA
20193,Persons
16057,NA
19125,Unknown
13059,NA
19137,Unknown
19149,Unknown
19157,Unknown
17179,Specimen
8039,NA
21227,NA
19153,Unknown
48421,Specimen
35061,Persons
72129,NA
72149,NA
28123,NA
31063,Unknown
1083,Persons
12035,Unknown
12053,Unknown
12091,Unknown
13095,NA
13253,NA
28113,NA
28061,NA
46045,NA
47099,Unknown
28047,NA
72093,NA
72089,NA
72085,NA
55137,Persons
47173,Unknown
1001,Persons
29089,Unknown
29115,Unknown
48363,Specimen
40129,NA
13135,NA
13167,NA
5077,Unknown
5123,Unknown
5037,Unknown
55085,Persons
55125,Persons
46035,NA
39125,NA
42075,Unknown
46017,NA
42007,Unknown
42039,Unknown
29061,Unknown
29021,Unknown
29199,Unknown
37103,NA
48187,Specimen
48293,Specimen
12121,Unknown
53043,Persons
13017,NA
13019,NA
56041,Specimen
55071,Persons
50019,NA
31173,Unknown
32027,Both
48405,Specimen
22037,Unknown
37029,NA
37041,NA
48031,Specimen
51720,NA
37139,NA
51700,NA
48115,Specimen
48317,Specimen
6055,Unknown
22067,Unknown
40015,NA
41037,Persons
29077,Unknown
48247,Specimen
18149,Persons
42073,Unknown
29105,Unknown
29119,Unknown
29121,Unknown
29127,Unknown
27163,NA
31087,Unknown
22111,Unknown
29011,Unknown
31085,Unknown
39023,NA
37005,NA
34021,NA
35021,Persons
48143,Specimen
48107,Specimen
47145,Unknown
26043,Specimen
20207,Persons
17041,Specimen
42105,Unknown
35037,Persons
27085,NA
29145,Unknown
31167,Unknown
51177,NA
38045,Persons
27123,NA
31007,Unknown
37191,NA
38073,Persons
48179,Specimen
37045,NA
42121,Unknown
29209,Unknown
31023,Unknown
5061,Unknown
51197,NA
38091,Persons
51530,NA
31053,Unknown
37109,NA
5097,Unknown
51660,NA
20013,Persons
19001,Unknown
1037,Persons
38015,Persons
40097,NA
72009,NA
17109,Specimen
20147,Persons
26055,Specimen
51735,NA
28059,NA
19011,Unknown
28161,NA
37135,NA
48155,Specimen
51149,NA
19089,Unknown
13149,NA
12027,Unknown
21205,NA
48087,Specimen
55089,Persons
42069,Unknown
48175,Specimen
17113,Specimen
39149,NA
48359,Specimen
32510,Both
36025,Persons
72049,NA
18169,Persons
21145,NA
5087,Unknown
51135,NA
1007,Persons
40033,NA
8025,NA
48389,Specimen
28057,NA
13143,NA
46009,NA
55105,Persons
18101,Persons
31117,Unknown
48081,Specimen
45077,NA
48243,Specimen
26039,Specimen
42059,Unknown
32009,Both
51590,NA
12007,Unknown
18137,Persons
35051,Persons
51775,NA
8041,NA
8101,NA
8043,NA
48489,Specimen
48253,Specimen
48319,Specimen
8119,NA
48173,Specimen
48433,Specimen
29213,Unknown
20019,Persons
37043,NA
36077,Persons
48449,Specimen
48467,Specimen
31071,Unknown
48063,Specimen
22099,Unknown
48213,Specimen
47127,Unknown
36007,Persons
51113,NA
36017,Persons
51157,NA
51031,NA
40147,NA
51079,NA
54069,NA
1131,Persons
54045,NA
1119,Persons
51091,NA
54073,NA
28043,NA
29025,Unknown
29197,Unknown
29211,Unknown
30091,NA
54049,NA
54033,NA
54021,NA
54007,NA
72019,NA
54019,NA
72063,NA
72039,NA
37083,NA
19097,Unknown
21077,NA
17175,Specimen
20027,Persons
38101,Persons
46077,NA
48079,Specimen
72135,NA
20187,Persons
31171,Unknown
26011,Specimen
39037,NA
8087,NA
17053,Specimen
48349,Specimen
46097,NA
17183,Specimen
20017,Persons
20185,Persons
72077,NA
18175,Persons
48123,Specimen
18113,Persons
48067,Specimen
21129,NA
47183,Unknown
18095,Persons
55065,Persons
5057,Unknown
19127,Unknown
40041,NA
17013,Specimen
31107,Unknown
72001,NA
19053,Unknown
39127,NA
13267,NA
48471,Specimen
51685,NA
39031,NA
17101,Specimen
20035,Persons
21191,NA
8003,NA
39063,NA
31163,Unknown
46007,NA
46095,NA
27073,NA
31069,Unknown
20183,Persons
51009,NA
19049,Unknown
39027,NA
46123,NA
26119,Specimen
31019,Unknown
8067,NA
37169,NA
51063,NA
5099,Unknown
18081,Persons
28137,NA
47089,Unknown
72003,NA
18033,Persons
72143,NA
72031,NA
18045,Persons
39111,NA
31031,Unknown
13071,NA
28025,NA
47031,Unknown
48171,Specimen
13317,NA
20119,Persons
42057,Unknown
17047,Specimen
19123,Unknown
48429,Specimen
47095,Unknown
29035,Unknown
21163,NA
26077,Specimen
29139,Unknown
19185,Unknown
27043,NA
1087,Persons
18093,Persons
26125,Specimen
48011,Specimen
55057,Persons
18179,Persons
38031,Persons
11001,NA
17151,Specimen
26003,Specimen
31009,Unknown
28007,NA
38027,Persons
26009,Specimen
48295,Specimen
19045,Unknown
72147,NA
12041,Unknown
26165,Specimen
38067,Persons
26007,Specimen
26091,Specimen
55039,Persons
72059,NA
26111,Specimen
20141,Persons
20163,Persons
72131,NA
72125,NA
31039,Unknown
72091,NA
38033,Persons
18069,Persons
18009,Persons
46101,NA
19031,Unknown
1089,Persons
18103,Persons
39091,NA
18159,Persons
19115,Unknown
37149,NA
19173,Unknown
55077,Persons
20039,Persons
20101,Persons
27173,NA
38079,Persons
20137,Persons
27135,NA
55005,Persons
13197,NA
48399,Specimen
13259,NA
48027,Specimen
48379,Specimen
51185,NA
28031,NA
27111,NA
55115,Persons
26147,Specimen
21117,NA
19117,Unknown
27143,NA
48493,Specimen
13255,NA
48397,Specimen
48437,Specimen
27115,NA
53027,Persons
13069,NA
22049,Unknown
36109,Persons
51740,NA
48353,Specimen
27063,NA
21169,NA
20205,Persons
40109,NA
36093,Persons
1027,Persons
51045,NA
55117,Persons
54029,NA
72101,NA
48071,Specimen
51036,NA
46107,NA
47189,Unknown
8051,NA
13003,NA
13091,NA
16011,NA
18013,Persons
18027,Persons
37035,NA
72017,NA
21225,NA
37141,NA
21123,NA
48249,Specimen
18117,Persons
22027,Unknown
39077,NA
27149,NA
49041,NA
19025,Unknown
31047,Unknown
8033,NA
12055,Unknown
19109,Unknown
21047,NA
37065,NA
37151,NA
20191,Persons
37193,NA
26159,Specimen
27019,NA
45015,NA
46059,NA
45047,NA
51033,NA
27101,NA
51103,NA
51119,NA
42053,Unknown
21079,NA
34007,NA
5023,Unknown
17037,Specimen
26113,Specimen
5051,Unknown
48197,Specimen
12125,Unknown
26027,Specimen
20145,Persons
48237,Specimen
19047,Unknown
13023,NA
19093,Unknown
19143,Unknown
19129,Unknown
13099,NA
13191,NA
39041,NA
13005,NA
27109,NA
55081,Persons
39131,NA
48135,Specimen
48165,Specimen
55101,Persons
29013,Unknown
29101,Unknown
29083,Unknown
28097,NA
48475,Specimen
48263,Specimen
36039,Persons
5071,Unknown
51047,NA
54011,NA
29129,Unknown
72045,NA
72029,NA
12113,Unknown
28039,NA
18183,Persons
55017,Persons
19171,Unknown
17141,Specimen
20195,Persons
13283,NA
48367,Specimen
21197,NA
13085,NA
20081,Persons
37081,NA
54059,NA
29141,Unknown
40057,NA
13075,NA
17103,Specimen
28067,NA
42047,Unknown
47149,Unknown
40133,NA
31083,Unknown
41027,Persons
8079,NA
31017,Unknown
8103,NA
48451,Specimen
35055,Persons
21015,NA
22075,Unknown
38001,Persons
16027,NA
23009,Specimen
1047,Persons
28071,NA
36011,Persons
38093,Persons
34011,NA
17081,Specimen
18041,Persons
20105,Persons
13055,NA
17135,Specimen
28105,NA
72057,NA
20041,Persons
18147,Persons
22011,Unknown
38023,Persons
17099,Specimen
36037,Persons
72067,NA
37111,NA
20157,Persons
21147,NA
20093,Persons
40093,NA
44001,NA
18177,Persons
16021,NA
19147,Unknown
6099,Unknown
20037,Persons
26061,Specimen
6077,Unknown
26081,Specimen
17045,Specimen
47131,Unknown
46047,NA
44003,NA
45061,NA
41017,Persons
20057,Persons
42085,Unknown
35017,Persons
5029,Unknown
42123,Unknown
51610,NA
51690,NA
30067,NA
12019,Unknown
29229,Unknown
39099,NA
39109,NA
48453,Specimen
31121,Unknown
21211,NA
54051,NA
54031,NA
12107,Unknown
72119,NA
20051,Persons
38041,Persons
46029,NA
47037,Unknown
48275,Specimen
41023,Persons
48271,Specimen
55129,Persons
32029,Both
26045,Specimen
8021,NA
20177,Persons
20069,Persons
31111,Unknown
51167,NA
20125,Persons
16065,NA
4001,Specimen
12071,Unknown
16007,NA
18019,Persons
48039,Specimen
48265,Specimen
48297,Specimen
49017,NA
49051,NA
51061,NA
55103,Persons
55025,Persons
20175,Persons
22091,Unknown
24035,Both
25017,NA
27049,NA
30105,NA
29163,Unknown
37115,NA
48077,Specimen
2240,Specimen
5079,Unknown
5025,Unknown
6011,Unknown
13057,NA
13193,NA
17115,Specimen
20149,Persons
21229,NA
22079,Unknown
27053,NA
27087,NA
28089,NA
30111,NA
34013,NA
35053,Persons
37195,NA
13009,NA
42043,Unknown
46075,NA
48299,Specimen
48289,Specimen
48331,Specimen
48153,Specimen
56017,Specimen
54037,NA
72005,NA
72115,NA
54057,NA
51161,NA
51089,NA
53001,Persons
72047,NA
48105,Specimen
48501,Specimen
35033,Persons
36121,Persons
39089,NA
28017,NA
22043,Unknown
21001,NA
28065,NA
29055,Unknown
29167,Unknown
33015,NA
54055,NA
47163,Unknown
18089,Persons
18119,Persons
19181,Unknown
21089,NA
41025,Persons
31147,Unknown
34009,NA
5067,Unknown
6023,Unknown
8057,NA
9001,NA
16033,NA
13101,NA
21003,NA
22017,Unknown
23005,Specimen
27155,NA
29153,Unknown
32013,Both
35031,Persons
29095,Unknown
21111,NA
37173,NA
48465,Specimen
51133,NA
51029,NA
51153,NA
55123,Persons
37019,NA
48485,Specimen
28095,NA
2060,Specimen
2290,Specimen
2185,Specimen
6105,Unknown
6029,Unknown
1009,Persons
48315,Specimen
49009,NA
50021,NA
21041,NA
49001,NA
50027,NA
51121,NA
51077,NA
29155,Unknown
12119,Unknown
15003,Unknown
38007,Persons
30061,NA
30041,NA
32003,Both
36115,Persons
39123,NA
39035,NA
41065,Persons
39045,NA
40031,NA
46061,NA
48209,Specimen
47133,Unknown
45033,NA
48099,Specimen
48361,Specimen
48333,Specimen
48019,Specimen
55009,Persons
56005,Specimen
55035,Persons
72071,NA
18165,Persons
46013,NA
54103,NA
72054,NA
48169,Specimen
36123,Persons
26051,Specimen
26001,Specimen
27171,NA
40063,NA
28107,NA
19099,Unknown
12037,Unknown
22059,Unknown
42117,Unknown
34035,NA
5135,Unknown
6111,Unknown
6003,Unknown
6001,Unknown
13083,NA
13257,NA
18083,Persons
36091,Persons
38065,Persons
17043,Specimen
18057,Persons
19135,Unknown
19183,Unknown
21045,NA
21153,NA
22001,Unknown
22039,Unknown
25015,NA
27039,NA
36095,Persons
29007,Unknown
31097,Unknown
39175,NA
21039,NA
50013,NA
53039,Persons
38017,Persons
18065,Persons
20067,Persons
31081,Unknown
21137,NA
22009,Unknown
24027,Both
21065,NA
31005,Unknown
13321,NA
38059,Persons
37183,NA
17061,Specimen
17017,Specimen
40075,NA
40099,NA
42109,Unknown
45027,NA
47185,Unknown
29171,Unknown
34001,NA
30031,NA
30101,NA
40141,NA
16041,NA
17163,Specimen
18077,Persons
19177,Unknown
19085,Unknown
29227,Unknown
26071,Specimen
27169,NA
28131,NA
40083,NA
39067,NA
12001,Unknown
20181,Persons
29051,Unknown
37047,NA
39155,NA
21029,NA
30029,NA
13287,NA
31141,Unknown
17039,Specimen
24039,Both
6093,Unknown
4012,Specimen
12087,Unknown
12033,Unknown
20007,Persons
13047,NA
13033,NA
21027,NA
24005,Both
30035,NA
31021,Unknown
36055,Persons
37099,NA
39015,NA
39135,NA
39053,NA
45069,NA
51760,NA
51097,NA
1121,Persons
2195,Specimen
2020,Specimen
8109,NA
13063,NA
13153,NA
13037,NA
28093,NA
29147,Unknown
13207,NA
6115,Unknown
8059,NA
12133,Unknown
13015,NA
18131,Persons
18143,Persons
19037,Unknown
31073,Unknown
21151,NA
31113,Unknown
22121,Unknown
22041,Unknown
26135,Specimen
28159,NA
29043,Unknown
39019,NA
46115,NA
47177,Unknown
47035,Unknown
48183,Specimen
48417,Specimen
54067,NA
49029,NA
4005,Specimen
51015,NA
5003,Unknown
5091,Unknown
53071,Persons
21035,NA
51800,NA
51620,NA
51023,NA
55073,Persons
56029,Specimen
72051,NA
48347,Specimen
17165,Specimen
36023,Persons
27167,NA
36079,Persons
19105,Unknown
42049,Unknown
29109,Unknown
29005,Unknown
42065,Unknown
13235,NA
31025,Unknown
38013,Persons
17015,Specimen
1111,Persons
6037,Unknown
6045,Unknown
12003,Unknown
36103,Persons
29183,Unknown
41015,Persons
47103,Unknown
48205,Specimen
48215,Specimen
49019,NA
51179,NA
1031,Persons
1025,Persons
39105,NA
16037,NA
4027,Specimen
4023,Specimen
5133,Unknown
12059,Unknown
8083,NA
45059,NA
46031,NA
47049,Unknown
47047,Unknown
48407,Specimen
48345,Specimen
48431,Specimen
18001,Persons
8053,NA
20071,Persons
29207,Unknown
13159,NA
30047,NA
30093,NA
21031,NA
13061,NA
17033,Specimen
19167,Unknown
22019,Unknown
22085,Unknown
22029,Unknown
28109,NA
28151,NA
30021,NA
28111,NA
38003,Persons
37067,NA
47059,Unknown
41003,Persons
42079,Unknown
45019,NA
47087,Unknown
48193,Specimen
48029,Specimen
18061,Persons
18171,Persons
19043,Unknown
22051,Unknown
19191,Unknown
23025,Specimen
2070,Specimen
6039,Unknown
16051,NA
17143,Specimen
17063,Specimen
18071,Persons
18059,Persons
20159,Persons
20179,Persons
31125,Unknown
22033,Unknown
26155,Specimen
39073,NA
1055,Persons
42125,Unknown
48487,Specimen
49047,NA
51019,NA
56045,Specimen
1015,Persons
1041,Persons
8035,NA
40069,NA
28055,NA
20161,Persons
40071,NA
40009,NA
13097,NA
31101,Unknown
31177,Unknown
29045,Unknown
32017,Both
34039,NA
46071,NA
46041,NA
46067,NA
47141,Unknown
47119,Unknown
48439,Specimen
42103,Unknown
48343,Specimen
46127,NA
46109,NA
55053,Persons
72105,NA
72117,NA
53077,Persons
55013,Persons
72065,NA
42071,Unknown
48133,Specimen
27029,NA
29093,Unknown
30097,NA
30039,NA
30015,NA
36113,Persons
37025,NA
38047,Persons
29017,Unknown
42033,Unknown
48125,Specimen
48119,Specimen
48391,Specimen
48351,Specimen
54101,NA
47065,Unknown
56019,Specimen
54083,NA
54025,NA
47039,Unknown
47001,Unknown
47187,Unknown
26115,Specimen
48369,Specimen
35039,Persons
36061,Persons
27151,NA
40111,NA
28077,NA
21199,NA
21201,NA
30027,NA
41053,Persons
13011,NA
22101,Unknown
22015,Unknown
22087,Unknown
17173,Specimen
5055,Unknown
6083,Unknown
9013,NA
12085,Unknown
13027,NA
18075,Persons
18047,Persons
13179,NA
23027,Specimen
24033,Both
24003,Both
25009,NA
28103,NA
29099,Unknown
36029,Persons
39043,NA
41063,Persons
42051,Unknown
30085,NA
31129,Unknown
32023,Both
34031,NA
35007,Persons
35045,Persons
39121,NA
40065,NA
46053,NA
38029,Persons
51035,NA
53049,Persons
53051,Persons
55091,Persons
1035,Persons
13121,NA
13163,NA
13031,NA
13169,NA
13007,NA
17107,Specimen
18133,Persons
20047,Persons
22055,Unknown
26123,Specimen
29049,Unknown
29159,Unknown
31093,Unknown
31183,Unknown
31091,Unknown
31175,Unknown
39069,NA
47157,Unknown
23013,Specimen
23017,Specimen
24041,Both
25005,NA
29023,Unknown
21059,NA
49053,NA
30003,NA
16059,NA
35003,Persons
6013,Unknown
5125,Unknown
21195,NA
37165,NA
17031,Specimen
17055,Specimen
21095,NA
20061,Persons
47137,Unknown
24043,Both
17193,Specimen
20199,Persons
48085,Specimen
48075,Specimen
21121,NA
21125,NA
20115,Persons
21127,NA
21133,NA
21135,NA
21139,NA
20197,Persons
17067,Specimen
27011,NA
6009,Unknown
48131,Specimen
25001,NA
21017,NA
21075,NA
24013,Both
22081,Unknown
16079,NA
6019,Unknown
6107,Unknown
16035,NA
37095,NA
48279,Specimen
51139,NA
51049,NA
54097,NA
1039,Persons
1115,Persons
51175,NA
53073,Persons
53025,Persons
53011,Persons
72043,NA
51101,NA
51770,NA
51173,NA
47071,Unknown
55119,Persons
12127,Unknown
18151,Persons
27127,NA
28127,NA
20209,Persons
37127,NA
37145,NA
13035,NA
39033,NA
21037,NA
21083,NA
21009,NA
37155,NA
31027,Unknown
39087,NA
38097,Persons
17127,Specimen
40035,NA
48217,Specimen
31015,Unknown
38099,Persons
1077,Persons
8069,NA
13239,NA
13295,NA
17119,Specimen
19111,Unknown
18153,Persons
12077,Unknown
41009,Persons
6033,Unknown
53037,Persons
12129,Unknown
12131,Unknown
27041,NA
46003,NA
20203,Persons
37037,NA
21149,NA
49011,NA
49057,NA
21159,NA
26083,Specimen
21165,NA
37085,NA
49049,NA
26105,Specimen
54087,NA
54089,NA
55027,Persons
46051,NA
26117,Specimen
47045,Unknown
21183,NA
6053,Unknown
24021,Both
51107,NA
16087,NA
24023,Both
54077,NA
17159,Specimen
24029,Both
47105,Unknown
24031,Both
26005,Specimen
21091,NA
17185,Specimen
2130,Specimen
13107,NA
4025,Specimen
8029,NA
12095,Unknown
16061,NA
17025,Specimen
18017,Persons
19055,Unknown
20031,Persons
31123,Unknown
21239,NA
21113,NA
20167,Persons
21203,NA
21179,NA
27061,NA
28073,NA
28133,NA
36083,Persons
36069,Persons
38061,Persons
37137,NA
13001,NA
40049,NA
40119,NA
40117,NA
47041,Unknown
47153,Unknown
47011,Unknown
48291,Specimen
51087,NA
46027,NA
55055,Persons
72013,NA
1127,Persons
51099,NA
55043,Persons
42045,Unknown
49037,NA
47069,Unknown
55021,Persons
48419,Specimen
48061,Specimen
6075,Unknown
17085,Specimen
27015,NA
27081,NA
37061,NA
18007,Persons
19103,Unknown
19165,Unknown
20083,Persons
28029,NA
35035,Persons
18181,Persons
18085,Persons
38085,Persons
34005,NA
19193,Unknown
21051,NA
41007,Persons
5093,Unknown
12039,Unknown
12045,Unknown
12075,Unknown
26093,Specimen
35019,Persons
42131,Unknown
48223,Specimen
48473,Specimen
36087,Persons
28125,NA
21155,NA
21057,NA
1071,Persons
22105,Unknown
32019,Both
39001,NA
2170,Specimen
9005,NA
39103,NA
37175,NA
1061,Persons
16053,NA
9011,NA
20121,Persons
6081,Unknown
13025,NA
12081,Unknown
13029,NA
22077,Unknown
23011,Specimen
41019,Persons
55023,Persons
48227,Specimen
48257,Specimen
13241,NA
5143,Unknown
36031,Persons
17167,Specimen
22025,Unknown
17139,Specimen
21105,NA
21167,NA
36051,Persons
37097,NA
39159,NA
47033,Unknown
13243,NA
30057,NA
38077,Persons
23015,Specimen
30063,NA
29187,Unknown
8061,NA
8065,NA
48495,Specimen
22083,Unknown
8089,NA
26033,Specimen
8093,NA
41011,Persons
6109,Unknown
22021,Unknown
2122,Specimen
13021,NA
29203,Unknown
21073,NA
22089,Unknown
29015,Unknown
40125,NA
48065,Specimen
51730,NA
29073,Unknown
51143,NA
29125,Unknown
42093,Unknown
5011,Unknown
29069,Unknown
16019,NA
18141,Persons
6091,Unknown
37177,NA
5139,Unknown
32001,Both
51820,NA
55045,Persons
16017,NA
16075,NA
1019,Persons
17195,Specimen
19057,Unknown
26089,Specimen
37021,NA
5031,Unknown
33009,NA
2275,Specimen
5039,Unknown
5041,Unknown
12063,Unknown
13275,NA
28023,NA
72141,NA
54081,NA
37049,NA
72035,NA
26047,Specimen
17007,Specimen
20053,Persons
19015,Unknown
6073,Unknown
48491,Specimen
32021,Both
35001,Persons
51131,NA
6095,Unknown
5129,Unknown
27157,NA
5117,Unknown
39093,NA
48355,Specimen
36075,Persons
8117,NA
51137,NA
38063,Persons
39079,NA
36059,Persons
36065,Persons
31067,Unknown
36071,Persons
36105,Persons
51680,NA
40121,NA
1125,Persons
24001,Both
51069,NA
54079,NA
8077,NA
39117,NA
6041,Unknown
51053,NA
8081,NA
39119,NA
1101,Persons
17133,Specimen
20127,Persons
6035,Unknown
8099,NA
26029,Specimen
5027,Unknown
2261,Specimen
56013,Specimen
27089,NA
27125,NA
5103,Unknown
2282,Specimen
37161,NA
40089,NA
12089,Unknown
53007,Persons
53061,Persons
8017,NA
26129,Specimen
32005,Both
23007,Specimen
19067,Unknown
19073,Unknown
21109,NA
37069,NA
19189,Unknown
28163,NA
30079,NA
37133,NA
27129,NA
37131,NA
55121,Persons
51195,NA
6113,Unknown
55011,Persons
37143,NA
8011,NA
29091,Unknown
36089,Persons
8031,NA
29157,Unknown
36119,Persons
5015,Unknown
48203,Specimen
5047,Unknown
36043,Persons
40139,NA
38055,Persons
13141,NA
16031,NA
48283,Specimen
8075,NA
34041,NA
50017,NA
4013,Specimen
17203,Specimen
20045,Persons
22005,Unknown
8085,NA
36027,Persons
8014,NA
42107,Unknown
47151,Unknown
39065,NA
51169,NA
55067,Persons
1123,Persons
29143,Unknown
30077,NA
6065,Unknown
20049,Persons
35005,Persons
35047,Persons
8015,NA
26141,Specimen
28149,NA
5089,Unknown
48301,Specimen
8001,NA
23031,Specimen
49027,NA
1013,Persons
8037,NA
22007,Unknown
34027,NA
17029,Specimen
25023,NA
51043,NA
1103,Persons
18037,Persons
19091,Unknown
21093,NA
48167,Specimen
5045,Unknown
31153,Unknown
35059,Persons
51181,NA
31029,Unknown
37079,NA
29149,Unknown
51059,NA
51600,NA
42005,Unknown
48199,Specimen
5115,Unknown
39151,NA
48219,Specimen
28147,NA
30001,NA
53059,Persons
27031,NA
53067,Persons
13065,NA
55029,Persons
19005,Unknown
55063,Persons
51650,NA
