fips,2021-02-22,2021-02-28,2021-02-13,2021-02-24,2021-01-20,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-26,2021-03-01,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-02-16,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-02-18,2021-01-29,2021-02-01,2021-02-04,2021-01-30,2021-01-28,2021-02-25,2021-01-27,2021-01-14,2021-01-23,2021-02-21,2021-02-17,2021-01-25,2021-01-21,2021-02-23,2021-02-12,2021-01-24,2021-01-15
26,670899.0,830176.0,459336.0,705514.0,70535.0,119962.0,398177.0,252963.0,92473.0,768464.0,846505.0,200265.0,312240.0,282345.0,19472,190777.0,214234.0,515237.0,62780.0,343580.0,328801.0,490997.0,371358.0,545553.0,159723.0,197770.0,229373.0,175117.0,143757.0,740415.0,131282.0,37918.0,105890.0,647617.0,526520.0,116840.0,81014.0,677980.0,425663.0,111243.0,48536.0
27,345351.0,454008.0,205958.0,374323.0,42384.0,72622.0,176482.0,131728.0,53940.0,409927.0,468222.0,119631.0,157277.0,150576.0,9798,114255.0,119631.0,236228.0,42116.0,160794.0,160794.0,224005.0,160794.0,257283.0,98634.0,118959.0,131728.0,107528.0,87269.0,389777.0,75844.0,18011.0,64768.0,344300.0,240414.0,72266.0,46008.0,365627.0,188872.0,67716.0,27799.0
29,348584.0,432982.0,205645.0,366980.0,49330.0,76467.0,163157.0,118308.0,66699.0,399851.0,464382.0,104063.0,141134.0,129273.0,22155,100237.0,106842.0,238767.0,45368.0,147466.0,146137.0,225467.0,154987.0,259295.0,92389.0,103241.0,112106.0,92389.0,85827.0,384758.0,79526.0,29546.0,68466.0,336446.0,244879.0,75823.0,58782.0,352782.0,172953.0,73248.0,36525.0
69,6506.0,7641.0,4789.0,7068.0,2219.0,3055.0,4376.0,3692.0,3016.0,7415.0,7642.0,3341.0,4035.0,3920.0,331,3150.0,3378.0,5465.0,1916.0,4233.0,4048.0,5141.0,4348.0,5915.0,3058.0,3247.0,3399.0,3058.0,3058.0,7334.0,3056.0,1140.0,3016.0,6337.0,5691.0,3017.0,2700.0,6676.0,4465.0,3017.0,1146.0
28,144566.0,206850.0,103462.0,158823.0,9979.0,16134.0,78802.0,37572.0,13423.0,181808.0,216072.0,25408.0,56140.0,47607.0,4832,24455.0,27786.0,119684.0,9545.0,60237.0,59325.0,114284.0,67829.0,119684.0,21354.0,25077.0,27786.0,22816.0,19475.0,159155.0,17499.0,7178.0,13423.0,140550.0,119684.0,16034.0,11567.0,147697.0,89697.0,15918.0,8396.0
30,72256.0,92632.0,44935.0,75223.0,9121.0,14245.0,39710.0,30749.0,11878.0,81762.0,93625.0,25824.0,36195.0,34207.0,5843,24885.0,26345.0,50311.0,8671.0,36907.0,36596.0,48739.0,37966.0,53250.0,21007.0,25438.0,28942.0,23785.0,18149.0,78135.0,15397.0,7508.0,13235.0,70876.0,51293.0,14111.0,9962.0,73080.0,41895.0,14071.0,8193.0
37,716027.0,870088.0,406851.0,754213.0,58407.0,87292.0,330758.0,206642.0,74427.0,812003.0,886852.0,155973.0,262031.0,230372.0,19293,149906.0,170087.0,483989.0,54012.0,280303.0,273763.0,448878.0,300991.0,540933.0,120946.0,155824.0,186914.0,135263.0,120480.0,782138.0,88145.0,35028.0,79197.0,691447.0,509113.0,86064.0,66736.0,724993.0,370032.0,83752.0,42790.0
38,65503.0,80647.0,45474.0,67006.0,8954.0,15742.0,40721.0,30829.0,12428.0,72168.0,82284.0,26493.0,37651.0,35123.0,5815,25359.0,27418.0,49263.0,8641.0,38417.0,38417.0,47552.0,39154.0,50438.0,20700.0,26136.0,28847.0,22968.0,18244.0,68641.0,16952.0,7134.0,14412.0,65293.0,49615.0,15680.0,9881.0,65701.0,43276.0,15589.0,7555.0
31,119890.0,161017.0,83670.0,131472.0,14463.0,23065.0,73704.0,55313.0,18086.0,145699.0,161830.0,46523.0,66018.0,59985.0,8459,43712.0,48889.0,90231.0,13860.0,68056.0,67636.0,88356.0,70566.0,96439.0,37350.0,45716.0,52390.0,41093.0,32380.0,138194.0,24598.0,12442.0,19646.0,118472.0,91998.0,22547.0,16206.0,124196.0,78835.0,22175.0,13050.0
33,82957.0,96465.0,59402.0,86410.0,8013.0,15542.0,53145.0,40489.0,12575.0,91988.0,96729.0,32381.0,45567.0,43888.0,5,29736.0,34130.0,65235.0,7120.0,47409.0,46071.0,61658.0,50602.0,69617.0,25055.0,30421.0,36868.0,27544.0,21781.0,89032.0,18224.0,4915.0,13166.0,81490.0,66108.0,13907.0,10319.0,84000.0,55696.0,13355.0,5700.0
34,521674.0,689303.0,332888.0,569056.0,49420.0,72212.0,280021.0,157642.0,56213.0,639428.0,696473.0,137096.0,210601.0,199040.0,14306,123147.0,145570.0,383659.0,43879.0,240470.0,221465.0,350955.0,259944.0,433066.0,108740.0,127552.0,145570.0,117791.0,88198.0,600777.0,79648.0,26939.0,61506.0,510377.0,407180.0,69374.0,49420.0,546919.0,305518.0,65164.0,36741.0
35,198486.0,241550.0,118379.0,204402.0,24706.0,35823.0,101665.0,71951.0,29278.0,222306.0,244734.0,60740.0,83100.0,78774.0,11335,56314.0,62821.0,137520.0,23236.0,88738.0,87916.0,128316.0,92720.0,144049.0,46878.0,60099.0,67246.0,50153.0,41669.0,212211.0,38292.0,15578.0,33133.0,194771.0,139262.0,35507.0,27014.0,201402.0,111954.0,34878.0,18711.0
32,176341.0,227816.0,90476.0,187809.0,17209.0,22508.0,77555.0,49925.0,20345.0,205500.0,240683.0,37568.0,62654.0,56456.0,8761,33923.0,41227.0,107905.0,16665.0,67651.0,66755.0,98469.0,73088.0,117870.0,29163.0,35559.0,45735.0,31783.0,26327.0,194377.0,23852.0,13900.0,20972.0,165269.0,109852.0,22279.0,19296.0,183594.0,83485.0,22068.0,15308.0
36,1218748.0,1442220.0,778565.0,1279059.0,106821.0,189791.0,668178.0,426368.0,142005.0,1337747.0,1485601.0,353127.0,519101.0,468747.0,36422,329795.0,368054.0,924475.0,102187.0,572426.0,554262.0,833444.0,619504.0,993790.0,271874.0,344325.0,388798.0,303102.0,238722.0,1304163.0,212802.0,58627.0,162685.0,1167934.0,955337.0,183915.0,120801.0,1254485.0,721554.0,176659.0,73523.0
39,688163.0,899625.0,409487.0,741704.0,30910.0,80329.0,349390.0,239651.0,44761.0,808069.0,923721.0,189502.0,285694.0,265445.0,0,163622.0,200784.0,482839.0,27139.0,312725.0,306072.0,447697.0,326984.0,514513.0,125794.0,179168.0,217948.0,150948.0,106035.0,778235.0,88834.0,9411.0,59153.0,649412.0,496235.0,76949.0,30910.0,708070.0,375675.0,71344.0,13552.0
40,289719.0,394484.0,188852.0,310347.0,32308.0,41814.0,172509.0,114208.0,37435.0,346826.0,401951.0,80465.0,145610.0,131556.0,17463,78459.0,87596.0,206173.0,30919.0,152243.0,151019.0,201044.0,162188.0,209203.0,60680.0,80231.0,99354.0,68510.0,52465.0,325335.0,46596.0,26117.0,39290.0,274345.0,206905.0,41634.0,34706.0,299132.0,178566.0,41289.0,28917.0
41,279756.0,355818.0,181841.0,292308.0,23866.0,43942.0,152361.0,107146.0,34536.0,325641.0,367112.0,83898.0,130687.0,118378.0,4813,74927.0,91240.0,199679.0,23866.0,145517.0,139700.0,193105.0,152361.0,209930.0,58664.0,79522.0,100414.0,66188.0,53662.0,305172.0,48261.0,9616.0,37983.0,265789.0,202959.0,42426.0,23866.0,292195.0,152361.0,40348.0,12795.0
42,651588.0,830262.0,403898.0,686525.0,85290.0,141304.0,373882.0,275444.0,112692.0,749659.0,868979.0,236995.0,321336.0,298741.0,10591,223489.0,237876.0,457037.0,79526.0,340234.0,328907.0,453485.0,356869.0,518285.0,193432.0,231261.0,257255.0,209964.0,159259.0,716193.0,156798.0,56188.0,122849.0,631998.0,498866.0,135939.0,96395.0,664130.0,399610.0,131908.0,66941.0
72,154730.0,194732.0,102807.0,164485.0,23428.0,39522.0,86660.0,65261.0,32181.0,186526.0,196380.0,54972.0,69224.0,69224.0,7666,54276.0,58951.0,111002.0,21368.0,75814.0,69224.0,108793.0,80807.0,122443.0,48196.0,54972.0,62336.0,51159.0,45057.0,172198.0,42437.0,14317.0,35705.0,154598.0,113075.0,39384.0,26627.0,156724.0,86660.0,39016.0,16360.0
44,63410.0,74687.0,41591.0,65730.0,10696.0,14148.0,38158.0,28979.0,12023.0,68469.0,78482.0,26027.0,33699.0,30711.0,4141,23408.0,26973.0,46511.0,9902.0,35770.0,35402.0,43717.0,37051.0,51711.0,20321.0,25435.0,27884.0,22401.0,18562.0,67029.0,16410.0,6860.0,12580.0,61609.0,48089.0,13649.0,11136.0,64439.0,40051.0,13260.0,8156.0
45,265062.0,337710.0,153014.0,278880.0,30679.0,48157.0,133648.0,96485.0,38183.0,305686.0,349123.0,81203.0,113169.0,103432.0,3954,74459.0,84010.0,183497.0,30243.0,119206.0,119206.0,167699.0,126831.0,201703.0,60974.0,80038.0,89983.0,66286.0,55183.0,292592.0,49869.0,19004.0,40812.0,254826.0,190900.0,47563.0,34277.0,268817.0,140806.0,43810.0,19477.0
46,77240.0,94266.0,48674.0,79778.0,9922.0,18753.0,43827.0,35590.0,13831.0,87148.0,95767.0,30803.0,39756.0,38626.0,7374,29362.0,31863.0,51631.0,9777.0,40466.0,40368.0,50247.0,41607.0,54611.0,26665.0,30557.0,33898.0,28547.0,24543.0,82621.0,21895.0,9516.0,16164.0,75719.0,52337.0,18504.0,10796.0,77888.0,45505.0,17293.0,9666.0
47,362284.0,465021.0,288311.0,386198.0,52051.0,101657.0,267820.0,215763.0,76162.0,422273.0,475312.0,179546.0,244539.0,228198.0,17914,169166.0,192674.0,313510.0,48867.0,250647.0,248911.0,303722.0,259283.0,318673.0,143592.0,178248.0,204419.0,155936.0,123116.0,402729.0,112362.0,25213.0,87376.0,355245.0,314957.0,99842.0,61743.0,367249.0,279980.0,96619.0,37800.0
48,1426511.0,1884890.0,1103754.0,1554957.0,187503.0,301684.0,960517.0,670782.0,230596.0,1754655.0,1885470.0,502794.0,779857.0,734386.0,101317,478812.0,564433.0,1215236.0,179801.0,843836.0,806885.0,1159996.0,893767.0,1259237.0,413844.0,502794.0,621991.0,452040.0,373624.0,1667843.0,324212.0,125126.0,251815.0,1400924.0,1249085.0,270118.0,205538.0,1484480.0,1036384.0,259056.0,155660.0
49,146408.0,177561.0,105704.0,154920.0,16272.0,25817.0,105704.0,80826.0,20697.0,168763.0,177561.0,63286.0,88190.0,88190.0,4608,45874.0,63286.0,118086.0,15367.0,105704.0,104274.0,105704.0,105704.0,126080.0,40909.0,62607.0,74992.0,45874.0,30065.0,168462.0,30065.0,8439.0,20697.0,146286.0,118086.0,25693.0,17275.0,146506.0,105704.0,20697.0,10534.0
51,520814.0,717061.0,306484.0,558330.0,37679.0,72628.0,247784.0,159239.0,46004.0,632836.0,737028.0,132292.0,198115.0,180751.0,0,118612.0,138321.0,354097.0,35239.0,219823.0,209104.0,320109.0,231608.0,396059.0,99790.0,125933.0,146937.0,110877.0,89645.0,586723.0,79443.0,23689.0,49007.0,501118.0,368764.0,59852.0,40340.0,537009.0,273106.0,51170.0,28164.0
78,4940.0,6434.0,3533.0,5506.0,240.0,496.0,3129.0,2211.0,367.0,6066.0,6531.0,1262.0,2505.0,2505.0,0,1088.0,1481.0,3612.0,165.0,2751.0,2515.0,3558.0,2956.0,4175.0,889.0,1090.0,1975.0,1069.0,719.0,5664.0,636.0,157.0,409.0,4879.0,3860.0,415.0,294.0,5224.0,3287.0,409.0,157.0
50,46743.0,55224.0,32186.0,47757.0,6167.0,10349.0,29713.0,22483.0,7954.0,50280.0,58041.0,18903.0,26162.0,24212.0,0,16491.0,19237.0,36773.0,6114.0,28010.0,27144.0,33495.0,28122.0,38381.0,14168.0,18338.0,20843.0,15213.0,12418.0,49103.0,10806.0,2958.0,8877.0,45017.0,36957.0,10195.0,6545.0,47661.0,31208.0,9853.0,4100.0
53,434996.0,580143.0,263257.0,455469.0,49731.0,76144.0,229588.0,157317.0,62152.0,513570.0,618834.0,130908.0,183657.0,170990.0,17689,117398.0,137930.0,296840.0,45237.0,198379.0,193678.0,281718.0,215824.0,327192.0,99955.0,126672.0,147498.0,108221.0,91733.0,484767.0,81786.0,27591.0,67127.0,411387.0,312815.0,73738.0,55902.0,443371.0,247481.0,68486.0,31581.0
55,371843.0,498381.0,216092.0,390586.0,27312.0,48017.0,176673.0,96850.0,37901.0,437472.0,515405.0,81523.0,153227.0,110306.0,11343,78902.0,84830.0,243483.0,23641.0,160627.0,159160.0,234709.0,168029.0,266163.0,65354.0,81097.0,84998.0,71976.0,57508.0,410457.0,52332.0,12820.0,42229.0,359360.0,252667.0,47409.0,32268.0,376139.0,190059.0,45641.0,17108.0
54,174287.0,209759.0,133868.0,178975.0,25681.0,42821.0,114445.0,87679.0,35390.0,193594.0,210642.0,69893.0,104023.0,100159.0,0,67183.0,72456.0,142817.0,23723.0,107679.0,104711.0,138882.0,110332.0,148742.0,58113.0,67363.0,78405.0,65165.0,50843.0,185374.0,45244.0,19588.0,37979.0,173068.0,144370.0,39453.0,31587.0,176709.0,120819.0,39071.0,21162.0
56,43289.0,54962.0,23032.0,43734.0,3441.0,4900.0,18180.0,12852.0,4515.0,49043.0,55305.0,9848.0,14835.0,14835.0,2116,9321.0,10495.0,27531.0,3242.0,16729.0,16729.0,27132.0,18180.0,30110.0,7674.0,9651.0,10495.0,7674.0,5419.0,46807.0,5419.0,2456.0,4773.0,39474.0,27531.0,4900.0,3441.0,43596.0,23032.0,4895.0,2803.0
