fips,2021-01-12,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-28
12,1042860,1196390.0,1216094.0,894490.0,1305075.0,1306075.0,1301873.0,1419272.0,1363481.0,1363481.0,1519860.0,1463359.0,1388599.0,1424104.0,1506152.0,1436724.0,1390972.0,1609632.0,1525807.0,1435221.0,1531181.0,1406086.0,1184398.0,1184398.0,1485975.0,1423340.0,1360945.0,1116056.0,1089945.0,1046444.0,998579.0,997381.0,881726.0,733924.0,730349.0,1077260.0,1494663.0,1407984.0,1379025.0,1268935.0
13,790404,779595.0,779895.0,698864.0,680327.0,708413.0,631889.0,631708.0,631708.0,631708.0,641261.0,699584.0,676814.0,638534.0,593054.0,543614.0,519283.0,617109.0,663662.0,678085.0,636453.0,589212.0,542051.0,520337.0,660825.0,690950.0,744510.0,744510.0,691480.0,582557.0,656660.0,658335.0,576309.0,441229.0,418402.0,488876.0,616663.0,683776.0,826246.0,808694.0
66,22709,30509.0,30509.0,30509.0,30509.0,30509.0,30509.0,30509.0,30509.0,30509.0,16994.0,16037.0,14780.0,13046.0,11846.0,11846.0,10855.0,18690.0,17432.0,25232.0,23931.0,22341.0,21728.0,21581.0,20377.0,18857.0,17307.0,15383.0,13550.0,12678.0,11796.0,10293.0,8629.0,2821.0,1713.0,800.0,-214.0,-1361.0,-1401.0,-3913.0
15,108267,106165.0,107192.0,90196.0,82206.0,110261.0,106582.0,106783.0,106783.0,99483.0,116665.0,119733.0,122756.0,115635.0,106898.0,98133.0,91564.0,108636.0,109464.0,111793.0,93187.0,83941.0,75952.0,68965.0,91915.0,102215.0,107682.0,101393.0,92620.0,85412.0,74028.0,80235.0,73558.0,74784.0,66429.0,115861.0,119579.0,128553.0,134912.0,114962.0
19,110184,155932.0,148017.0,124045.0,141225.0,169857.0,168343.0,181365.0,170292.0,165272.0,163593.0,158679.0,179078.0,174253.0,180026.0,165698.0,160432.0,155803.0,180048.0,191948.0,214473.0,202023.0,182138.0,165200.0,158747.0,171616.0,191830.0,182322.0,163302.0,141213.0,129390.0,123513.0,140950.0,108376.0,96677.0,131547.0,170898.0,206355.0,218271.0,188691.0
16,110905,117489.0,113439.0,96100.0,97583.0,104803.0,103112.0,98460.0,93972.0,89829.0,90259.0,106234.0,107950.0,112677.0,106821.0,100670.0,97173.0,90327.0,113541.0,120378.0,102881.0,90255.0,80794.0,70884.0,83249.0,104646.0,105762.0,106737.0,107015.0,87280.0,69950.0,64381.0,58176.0,31864.0,21957.0,48371.0,75651.0,75198.0,92242.0,92825.0
17,556095,554459.0,573460.0,485964.0,554074.0,602798.0,601798.0,762498.0,718178.0,694047.0,810961.0,824341.0,808450.0,774223.0,747771.0,685121.0,641761.0,786774.0,878154.0,874956.0,841529.0,759087.0,687465.0,631357.0,729420.0,787319.0,850670.0,806087.0,789232.0,712447.0,707168.0,698601.0,669012.0,585379.0,570530.0,589311.0,865680.0,980238.0,917509.0,750926.0
18,348631,396537.0,382115.0,307739.0,384640.0,428888.0,425798.0,395696.0,395696.0,349869.0,401351.0,396795.0,373156.0,348578.0,324315.0,324315.0,324315.0,479086.0,468805.0,445184.0,406462.0,368579.0,368579.0,368579.0,445055.0,495973.0,519294.0,486557.0,369192.0,329501.0,353338.0,333637.0,326924.0,217561.0,195060.0,405913.0,373527.0,351084.0,327110.0,258276.0
20,114907,171610.0,165396.0,144741.0,142895.0,181566.0,199381.0,203266.0,196926.0,193456.0,189432.0,224483.0,215249.0,221835.0,206830.0,191881.0,186455.0,182149.0,229644.0,220350.0,228626.0,211998.0,195966.0,189156.0,186676.0,234088.0,231077.0,231234.0,214084.0,191992.0,184728.0,176809.0,164150.0,136468.0,131072.0,182516.0,223591.0,297142.0,300869.0,257820.0
21,197336,176762.0,162702.0,121411.0,220379.0,215032.0,212556.0,200040.0,171507.0,163538.0,245783.0,262232.0,268850.0,283407.0,264149.0,245445.0,234605.0,265138.0,283800.0,290717.0,263223.0,229832.0,198658.0,182318.0,260142.0,255453.0,274002.0,245882.0,242290.0,213332.0,192187.0,191718.0,224432.0,182043.0,166542.0,329935.0,329745.0,322629.0,360557.0,297280.0
