fips,severity_index,deaths_2020_05_19,deaths_intervals_2020_05_19,deaths_2020_05_20,deaths_intervals_2020_05_20,deaths_2020_05_21,deaths_intervals_2020_05_21,deaths_2020_05_22,deaths_intervals_2020_05_22,deaths_2020_05_23,deaths_intervals_2020_05_23,deaths_2020_05_24,deaths_intervals_2020_05_24,deaths_2020_05_25,deaths_intervals_2020_05_25
12011,3,286.9,"(281, 290.94868856637896)",292.2,"(281.0743867240888, 299.19045424639074)",297.2,"(282.5891159685986, 306.45354653089123)",301.9,"(281, 330.4753304022782)",306.2,"(281, 352.4252031781401)",310,"(281, 363.0775225799088)",313,"(281, 372.9098780751295)"
12099,3,280.1,"(275, 287.50894008617996)",284.6,"(275, 299.11856580959113)",289,"(275, 308.7024800663037)",293.2,"(275, 312.37130962085473)",297.1,"(281.157259950688, 308.66335119436405)",300.6,"(283.29790870801946, 314.6613132146313)",303.3,"(283.5087825926337, 323.0450001338504)"
34007,3,279.7,"(275, 284.41324417550504)",283.6,"(275, 292.49249217373705)",287,"(275, 296.8061529906311)",289.8,"(275.21322070525963, 300.57571497505927)",292.3,"(278.78304301878507, 301.9138374305081)",294.2,"(275, 312.4944544821509)",295.1,"(275.2898037610601, 314.85889049045903)"
8031,3,279.1,"(274.7591847516202, 283.3821508481402)",285.6,"(272, 305.45362083902353)",292,"(272, 321.0199224049126)",298.5,"(272, 338.88632755164656)",304.5,"(272, 345.76510001871407)",310.5,"(272, 356.0259821278829)",315.7,"(272, 361.85435459453436)"
6065,3,265.7,"(261, 278.2199740581404)",273.7,"(261, 288.4574015677465)",281.6,"(261, 298.14298363776345)",289.4,"(261.12783459694964, 312.29651677393946)",296.9,"(266.11112289555524, 322.63528478387093)",304,"(282.1969483316053, 322.55178051498063)",310.8,"(286.9384175876638, 334.67398986166734)"
44007,3,262.6,"(250, 318.23988169368744)",270.2,"(250, 324.3308002748561)",277.2,"(250, 330.8018501930333)",282.9,"(250, 337.32210202573583)",287.6,"(250, 343.50473728310595)",291,"(250, 352.2093732575228)",292.9,"(250, 381.7834524741768)"
8005,3,262,"(253, 273.74323047648767)",268.8,"(253, 304.7833008973471)",275.6,"(253, 327.9070594101745)",282.6,"(253, 355.3740958852022)",289.4,"(253, 375.09554381614174)",296.2,"(253, 392.8641812070413)",302.4,"(253, 397.1256986764082)"
55079,3,260.6,"(256, 266.16164532692113)",265.4,"(256, 272.3092376343843)",269.7,"(256, 276.7441061870088)",273.8,"(263.6223014469285, 275.90236879636245)",277.3,"(261.5400117913297, 285.795056562945)",280.2,"(266.7721363011712, 288.9334312065152)",282.3,"(267.7759665954686, 296.88001145476215)"
42071,3,254.5,"(252, 339.38083400334693)",267.3,"(252, 347.70545982419463)",280.1,"(252, 353.17357466315434)",293,"(252, 373.85980054235125)",306.2,"(252, 421.46248278553657)",319.3,"(252, 449.5549759046254)",332.1,"(252, 459.2436105497251)"
42011,3,249.1,"(248, 290.98062883658935)",257.5,"(248, 294.16087515459714)",265.6,"(248, 317.6980930133037)",273.4,"(248, 328.9149089254074)",280.9,"(248, 376.8498454029496)",288,"(248, 414.82029992249505)",294.5,"(248, 428.5038813434146)"
34005,3,246.2,"(245, 257.6059031650427)",247.6,"(245, 265.6784404793596)",248.6,"(245, 272.7330093901264)",249.1,"(245, 280.970300072341)",249.4,"(245, 280.47479041765325)",248.8,"(245, 278.8743577703728)",247.5,"(245, 284.2103253350202)"
24005,3,244,"(240.74482713929396, 245.98171875888445)",250.6,"(238.57726483188154, 260.05935863655344)",257,"(237.52992922379227, 272.7210710867168)",263,"(237, 284.96421053631985)",268.6,"(241.5766363072394, 292.00864513983623)",273.8,"(242.39200164038442, 302.8388546480937)",278.5,"(248.57019382855182, 308.40963321249404)"
17197,3,244,"(240, 256.80603635436427)",247.5,"(240, 262.7734708000995)",250.6,"(240, 271.93966889596845)",253.4,"(240, 278.23995090611567)",255.6,"(240, 280.9113252741183)",257.4,"(240, 280.1181354158853)",258.3,"(240, 279.35915631755756)"
26049,2,231,"(231, 231.865065871534)",231,"(231, 233.62777259753298)",231,"(231, 234.4898802175349)",231,"(231, 235.56532576743743)",231,"(231, 235.56085942297426)",231,"(231, 236.54259608877257)",231,"(231, 225.30372944311011)"
42029,3,227.9,"(227, 244.69728268454895)",229.4,"(227, 255.98592385056546)",230.8,"(227, 262.5697205417978)",232,"(227, 265.282461412551)",233.1,"(227, 265.43540439509866)",233.9,"(227, 274.07394872121415)",234.2,"(227, 269.01000380272006)"
17097,3,219.8,"(215, 222.94568588604403)",223.6,"(215, 234.09154062357203)",226.8,"(215, 251.35046884711204)",229.3,"(215, 257.5877747540927)",231,"(215, 260.01964520619117)",231.9,"(215, 267.41743417969315)",231.9,"(215, 267.3622978342692)"
22033,3,218.8,"(216.1140976484465, 219.2895957703601)",221.5,"(216, 226.29790457193693)",224,"(216, 229.9267863059428)",226.2,"(216, 233.40351049228127)",227.5,"(216, 237.3152095067908)",228.5,"(216, 252.31694978626643)",228.9,"(216, 257.6081704082021)"
6073,3,215.4,"(211, 222.30649475235168)",219.9,"(211, 231.4747494570307)",224.2,"(211, 240.82898252573338)",228.2,"(211, 248.94832679254932)",231.7,"(211, 251.8899764194378)",234.7,"(217.4864922193656, 248.30712625234068)",237.3,"(214.9137297117924, 259.63941433526594)"
48201,3,211.7,"(204, 218.54810008379042)",218.3,"(205.62829857794281, 226.87454393066108)",224.8,"(210.44053434858168, 233.70822964866267)",231,"(212.12609990113515, 244.09519593480127)",237,"(215.6316513693288, 253.12351448824376)",242.6,"(214.15802287461702, 267.64485230212165)",247.7,"(219.490975636156, 275.8518597111609)"
39095,2,207.1,"(207, 212.29619066084797)",207.5,"(207, 223.6520861243868)",207.6,"(207, 243.6012503678924)",207.7,"(207, 253.53000437140153)",207.7,"(207, 253.28053916928758)",207.6,"(207, 254.34980762847192)",207.5,"(207, 257.8576346950513)"
24510,3,205.5,"(200, 211.79334154958408)",210.7,"(203.50514418528647, 215.61460591271825)",215.6,"(206.6937661133281, 221.30401001384476)",220.3,"(210.2307076641423, 226.7158209962266)",224.6,"(216.3665373503985, 229.6387862105723)",228.5,"(220.2109739950985, 234.78195763947502)",232,"(224.9894504930587, 239.00558983400583)"
39049,3,185.1,"(177, 193.58889170310977)",193,"(179.63309896369233, 205.47999062243)",201.1,"(190.02648488873427, 210.3658510784142)",209.2,"(188.09517781363047, 228.305418075457)",217.2,"(192.59506173645738, 240.2526815434148)",225.2,"(207.14375538606382, 242.24951843379634)",233.4,"(209.5549482146105, 257.1876623615538)"
48113,3,183.4,"(180.40434232665237, 183.6892500327602)",190.9,"(184.52013114873733, 192.33730742467537)",198.3,"(181.92751602897314, 208.062481681951)",205.3,"(180.3264285943272, 223.2563564457336)",211.9,"(185.49075763939123, 232.01582779894068)",218,"(189.38049303403687, 242.43348051901592)",223.3,"(194.54149214157098, 252.08764346791745)"
39035,3,178.5,"(175, 185.77596057599624)",181.3,"(175, 188.06511500589934)",183.9,"(175, 194.31858125768267)",186.2,"(175, 202.09338876318512)",188.2,"(175, 209.6615999334123)",189.8,"(175, 219.6422875514344)",191,"(175, 224.22678170411723)"
13121,3,175,"(172, 180.1493512499404)",178.9,"(172, 187.45007708323251)",182.6,"(172, 189.26447224888446)",186.1,"(174.6608249409294, 193.11584042638697)",189.2,"(179.6950334887687, 194.69387317736172)",191.9,"(174.9272935038772, 206.26082807183295)",194.1,"(178.27671883163205, 209.9358032616198)"
42077,3,174,"(173, 213.11816353288108)",180.4,"(173, 217.28205828063358)",186.4,"(173, 223.88364107421853)",192.1,"(173, 233.90576712787646)",197.4,"(173, 257.4450296417413)",202.3,"(173, 291.34415483177105)",206.7,"(173, 293.63749522807285)"
42095,2,171.5,"(171, 179.23442814085055)",171.7,"(171, 179.35468039668862)",171.5,"(171, 178.3522537595402)",171.2,"(171, 177.22656595162314)",171,"(171, 192.68347369696772)",171,"(171, 196.79069222527198)",171,"(171, 200.53057056136493)"
36055,3,161.3,"(158, 169.1283143003408)",164,"(158, 171.29913792947204)",166.7,"(158, 175.22132661543375)",169.1,"(158, 177.69748796821932)",171.2,"(162.35280838051875, 176.8317822670969)",172.9,"(158, 197.9026610623354)",174.1,"(158, 213.11785787448773)"
4019,3,159.5,"(157, 165.50492201490465)",161.8,"(157, 173.7602872655879)",164.2,"(157, 177.89681046056452)",166.6,"(157, 181.28194264043313)",169,"(157.63145925399002, 180.19896311107286)",171.6,"(157, 200.88669253948703)",173.8,"(157, 207.60040054394702)"
6071,3,157.9,"(155, 162.2993484793543)",160.2,"(155, 178.96648493087858)",162.1,"(155, 192.13007961560194)",163.7,"(155, 200.9088872730137)",164.7,"(155, 207.34421740015992)",165.1,"(155, 207.0962641686659)",164.9,"(155, 206.85239621968975)"
22017,3,157.4,"(155, 163.03876465327446)",158.7,"(155, 166.34493408867556)",160.1,"(155, 171.13886353568066)",161.7,"(155, 178.62821378184196)",163,"(155, 183.36247490973972)",164.1,"(155, 182.99668546022428)",164.9,"(155, 184.85755956885174)"
39099,2,148,"(148, 151.96091422034243)",148,"(148, 154.30306909300194)",148,"(148, 166.878349918318)",148,"(148, 176.16821335131496)",148,"(148, 178.19641638573228)",148,"(148, 179.09939807594134)",148,"(148, 182.4127660514956)"
22103,3,147.8,"(147, 150.30465961398195)",148.9,"(147, 153.2488463477555)",150,"(147, 156.18105323891393)",150.9,"(147, 157.8380674534745)",151.7,"(147, 158.74668873663495)",152.2,"(147, 160.7275692810975)",152.4,"(147, 161.075935346703)"
42003,2,143.3,"(143, 145.29279696796706)",143.2,"(143, 154.70317823377314)",143.1,"(143, 159.68562577345543)",143,"(143, 161.33192519792615)",143,"(143, 162.979007418043)",143,"(143, 162.28236058767692)",143,"(143, 161.60130898396108)"
18089,3,142.3,"(140, 144.40364452942902)",143.9,"(140, 147.75480164063012)",145.4,"(140, 147.9997177729383)",146.6,"(140, 150.49663417208708)",147.4,"(140, 153.54214301808778)",147.9,"(140, 156.17110202576984)",147.9,"(140, 156.7871357243825)"
34037,3,138.9,"(138, 142.1272998777486)",139.8,"(138, 145.5772255321022)",140.9,"(138, 148.6429755913889)",142,"(138, 151.3075320427314)",143.2,"(138, 154.842534296764)",144.3,"(138, 153.96975698323087)",145.2,"(140.88660294995117, 149.48498249717207)"
