fips,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-01-29,2021-02-01,2021-01-30,2021-01-28,2021-01-27,2021-01-14,2021-01-23,2021-01-25,2021-01-21,2021-01-24,2021-01-15
36,1245215.0,1869595.0,1610832.0,1048453.0,1541235.0,1722302.0,1661253.0,543014,1473614.0,1562945.0,884908.0,1795592.0,1767666.0,2007952.0,1833754.0,1359970.0,1511266.0,1417373.0,1320572.0,1286705.0,617596.0,1105935.0,1215450.0,982183.0,1172921.0,671311.0
39,627390.0,1107677.0,936321.0,500557.0,854741.0,1006750.0,975620.0,311867,789605.0,883630.0,444812.0,1059251.0,1038595.0,1241257.0,1077597.0,716677.0,824597.0,759337.0,683323.0,657075.0,338961.0,535544.0,608379.0,456424.0,575488.0,361818.0
40,284799.0,452166.0,393313.0,247954.0,362529.0,424612.0,406359.0,109045,356891.0,372020.0,209687.0,432422.0,431499.0,477378.0,440614.0,323625.0,360670.0,339382.0,308458.0,296308.0,160035.0,263315.0,282679.0,230902.0,279283.0,173162.0
41,263167.0,434561.0,378078.0,218413.0,353035.0,400019.0,389513.0,99594,331692.0,361249.0,192550.0,425086.0,412660.0,475841.0,434561.0,299508.0,342827.0,314964.0,285528.0,276200.0,119980.0,231606.0,257296.0,192550.0,244669.0,133091.0
42,657711.0,1215755.0,993076.0,539431.0,916235.0,1082700.0,1036395.0,266288,862021.0,917497.0,464339.0,1134099.0,1108626.0,1363250.0,1176825.0,777260.0,900237.0,819889.0,695656.0,693731.0,353821.0,572228.0,639526.0,508391.0,611359.0,380727.0
72,147910.0,248934.0,221431.0,128284.0,197187.0,229133.0,229133.0,61486,193842.0,206430.0,107661.0,236882.0,229133.0,272485.0,242200.0,174840.0,197187.0,183630.0,165862.0,156071.0,80310.0,136400.0,146984.0,120250.0,143910.0,87512.0
44,58097.0,89723.0,77940.0,49932.0,73486.0,83326.0,81085.0,35385,67744.0,74473.0,44164.0,86264.0,85037.0,97380.0,87862.0,63263.0,68779.0,65668.0,61554.0,59853.0,38000.0,50650.0,56751.0,47859.0,54287.0,39381.0
45,267262.0,487418.0,418519.0,189170.0,385908.0,450531.0,435079.0,77042,361557.0,391585.0,155548.0,460511.0,460511.0,525641.0,475116.0,322195.0,379136.0,339544.0,302890.0,275291.0,96231.0,206663.0,258015.0,173906.0,233257.0,101722.0
46,64012.0,97817.0,85921.0,56762.0,77125.0,91598.0,88882.0,41322,76523.0,79025.0,51288.0,92678.0,92615.0,109875.0,94744.0,70502.0,77052.0,74229.0,67171.0,65031.0,44721.0,60982.0,63950.0,54531.0,63091.0,47389.0
47,365235.0,595081.0,500458.0,324543.0,450633.0,543793.0,521621.0,143735,438426.0,463300.0,302260.0,558590.0,554016.0,659390.0,577121.0,400950.0,447977.0,416716.0,385682.0,374108.0,238943.0,335823.0,361767.0,313154.0,354407.0,264912.0
48,1614648.0,2745305.0,2257870.0,1412767.0,1991555.0,2464468.0,2371311.0,809148,1928227.0,2086493.0,1222952.0,2589885.0,2512804.0,2970596.0,2672352.0,1804291.0,1991555.0,1886813.0,1731725.0,1648575.0,917387.0,1474571.0,1532381.0,1337706.0,1502751.0,1003412.0
49,196507.0,307059.0,271345.0,175364.0,245534.0,284458.0,284458.0,90613,227616.0,245534.0,144056.0,307059.0,304991.0,307059.0,307059.0,219468.0,244613.0,227616.0,201134.0,201134.0,103833.0,175364.0,195221.0,166334.0,175364.0,114504.0
51,497055.0,945182.0,805624.0,353808.0,742017.0,875842.0,842587.0,0,687883.0,757544.0,290146.0,912014.0,897049.0,1004422.0,925586.0,598853.0,718113.0,648378.0,552909.0,524196.0,192918.0,376378.0,415684.0,320175.0,393127.0,214732.0
78,3251.0,8039.0,6673.0,2703.0,5447.0,6972.0,6961.0,0,4920.0,5906.0,1970.0,7313.0,7014.0,8730.0,7762.0,4367.0,5026.0,4898.0,3901.0,3538.0,1267.0,2946.0,2984.0,2450.0,2969.0,1474.0
50,43994.0,67024.0,57432.0,38432.0,54994.0,60863.0,58637.0,0,50571.0,55357.0,34427.0,64864.0,63024.0,73105.0,65577.0,47485.0,53967.0,48473.0,46376.0,44498.0,26603.0,40484.0,43356.0,36233.0,41950.0,28355.0
53,420728.0,797359.0,658508.0,330357.0,599313.0,709023.0,684484.0,162105,555505.0,616340.0,265507.0,740234.0,731739.0,870853.0,780179.0,496008.0,582420.0,524466.0,468528.0,441895.0,187450.0,359217.0,404326.0,306942.0,370231.0,200682.0
55,268091.0,640058.0,491942.0,221067.0,437456.0,581413.0,521331.0,125895,409614.0,457768.0,188144.0,600268.0,595912.0,709908.0,619711.0,339296.0,429609.0,375931.0,302339.0,281166.0,135841.0,241512.0,266481.0,204746.0,260664.0,151387.0
54,167660.0,226323.0,203731.0,145361.0,194301.0,217613.0,214301.0,0,192580.0,195200.0,128923.0,219723.0,218266.0,247689.0,222233.0,181839.0,192951.0,191225.0,173750.0,169671.0,99061.0,156854.0,164528.0,135950.0,163801.0,113034.0
56,36398.0,61170.0,53630.0,29993.0,48255.0,56076.0,56076.0,13577,47639.0,49361.0,24788.0,58775.0,58775.0,71653.0,61170.0,41441.0,48155.0,41441.0,37963.0,37963.0,17310.0,32746.0,36215.0,25841.0,35868.0,19931.0
