State,stateFIPS,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04
NV,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,6,6,10,10,14,15,18,26,32,38,43,46,46,46,59,72,82,86,86,86,86,86,86,138,142,152,158,159,163,174,190,198,200,206,207,219,231,237,237,253,257,257,262,281,289,297,302,306,306,314,325,332,344,346,349,349,361,361,361,380,390,392,394,394,397,405,408,412,413,416,417,420,429,432,437,438,442,445,447,459,461,462,463,464,466,472,475,478,485,487,490,492,494,495,498,500,500,504,507,511,524,528,530,534,537,548,553,574,579,589,593,593,612,619,626,637,646,647,648,676,704,707,722,732,734,739,759,759,801,830,832,832,847,862,890,899,919,949,957,963,980,995,1030,1045,1069,1072,1077,1072,1072,1171,1195,1197,1197,1200,1230,1250,1250,1287,1302,1302,1302,1305,1336,1336,1375,1388,1389,1393,1393,1412,1429,1439,1449,1449,1456,1482,1494,1506,1524,1528,1531,1531,1531,1546,1564,1573,1582,1585,1585,1592,1600,1603,1609,1620,1623,1623,1623,1636,1649,1657,1659,1661,1664,1664,1691,1691,1707,1707,1711,1712,1727,1732,1736,1738,1743,1748,1749,1756,1766,1769,1777,1777,1777,1783,1806,1813,1823,1843,1848,1849,1850,1856,1874,1877,1890,1905,1906,1914,1941,1944,1950,1979,2007,2007,2018,2041,2064,2064,2088,2112,2129,2137,2160,2188,2231,2254,2282,2296,2300,2339,2364,2413,2455,2496,2513,2522,2570,2622,2642,2675,2718,2718,2752,2788,2835,2878,2878,2903,2910,2924,2932,2978,3079,3097,3102,3133,3133,3156,3156,3279,3328,3380,3395,3428,3428,3474,3582,3582,3680,3697,3697,3709,3709,3825,3872,3923,3935,3935,3996,4042,4042,4124,4167,4173,4181,4181,4275,4326
NH,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,5,7,9,9,9,13,18,21,22,23,23,23,27,32,34,37,38,41,42,42,48,51,53,60,60,60,60,66,72,81,84,86,86,92,111,114,121,131,133,133,142,150,151,159,171,172,172,182,190,199,204,208,209,210,214,223,232,237,242,245,245,256,265,273,278,283,286,286,294,301,308,315,318,320,320,326,330,331,337,339,339,339,343,347,357,365,367,367,367,371,373,375,376,376,381,382,384,386,387,390,391,391,391,392,394,395,395,396,398,398,400,402,405,407,409,409,409,409,411,415,415,416,417,417,418,418,419,419,419,419,419,419,420,422,423,423,423,423,424,427,428,428,429,429,429,429,430,431,432,432,432,432,432,432,432,432,432,433,433,433,433,434,434,435,436,436,436,438,438,438,438,438,438,438,438,438,438,439,439,439,439,439,441,441,442,443,443,446,446,448,450,455,456,456,456,458,463,465,466,467,468,468,469,470,471,473,473,475,475,478,482,482,483,483,483,483,484,484,488,489,489,489,489,489,492,492,492,492,500,502,504,505,506,507,511,511,512,512,513,513,513,513,525,527,536,543,552,559,564,566,566,570,584,589,600,603,604,604,625,629,638,650,656,656,656,656,656,656,656,656,715,735,741,741,741,741,780,780,791,815,826,845,845,869,869,878,885,897,908,926,932,932,937,950,962,971,971,987,990,994,1006,1022,1036,1042,1057,1059,1059,1076,1085
NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,7,9,14,20,24,41,41,60,91,139,139,141,208,355,533,641,832,904,988,1227,1500,1696,1930,2181,2348,2348,2803,3154,3515,3837,4068,4202,4376,4753,4753,4753,5617,5863,5938,6044,6441,6770,7228,7538,7742,7870,7910,8244,8549,8801,8951,9115,9255,9310,9508,9702,9946,10138,10249,10356,10435,10586,10747,10843,10985,11080,11130,11143,11191,11339,11401,11531,11633,11696,11721,11770,11880,11970,12048,12105,12173,12214,12303,12377,12442,12489,12587,12624,12673,12722,12763,12796,12834,12856,12870,12894,12948,12993,13018,13060,14948,14975,14992,15035,15078,15107,15164,15189,15211,15229,15281,15332,15448,15479,15525,15525,15560,15582,15634,15665,15684,15699,15706,15715,15737,15707,15730,15765,15776,15787,15804,15825,15798,15809,15819,15830,15836,15846,15846,15842,15849,15849,15869,15874,15878,15890,15885,15893,15903,15910,15912,15916,15925,15926,15932,15941,15943,15946,15946,15953,15914,15921,15930,15933,15937,15945,15950,15964,15971,15978,15985,15989,15991,15996,16009,16014,16023,16027,16031,16034,16043,16054,16057,16061,16064,16067,16069,16076,16082,16091,16097,16103,16103,16107,16117,16122,16127,16131,16135,16136,16138,16147,16152,16161,16164,16171,16174,16175,16182,16191,16197,16202,16204,16211,16214,16227,16245,16263,16273,16281,16285,16292,16306,16323,16331,16338,16348,16351,16355,16371,16391,16403,16415,16425,16429,16440,16461,16476,16495,16521,16548,16566,16580,16618,16655,16689,16712,16746,16761,16772,16819,16886,16924,16940,16965,16978,16993,17083,17145,17209,17255,17304,17321,17336,17426,17542,17608,17662,17731,17751,17775,17872,18003,18080,18124,18173,18194,18223,18326,18466,18544,18595,18611,18630,18651,18777,18952,19042,19160,19187,19208,19244,19382,19382,19646,19756,19854,19854,19854,20038,20161,20161,20320,20414,20438,20458,20512,20664,20760,20875,20934,20951,20972,21105,21220,21301,21383,21455,21484,21513,21584,21693,21793
NM,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,5,6,7,10,11,12,12,13,16,17,19,20,26,26,31,31,44,51,53,55,58,58,71,78,84,93,99,99,105,112,123,131,138,150,150,162,169,172,181,191,200,208,219,231,242,253,253,253,270,276,283,294,302,302,302,320,325,329,335,344,351,356,362,367,367,383,387,392,395,399,403,409,420,420,431,435,440,447,452,452,464,466,469,469,476,480,485,489,491,492,493,497,500,503,511,513,513,515,519,527,533,539,543,545,548,551,557,562,565,569,571,578,588,591,596,601,607,614,619,626,632,635,642,651,654,655,658,667,669,675,681,685,690,693,695,697,703,711,714,718,723,729,734,739,743,745,747,750,755,764,767,769,770,779,787,790,791,794,800,803,807,807,813,816,818,821,823,823,830,832,836,841,847,849,851,854,857,859,865,870,870,873,875,877,882,887,890,892,894,894,896,899,902,907,911,915,918,921,922,928,929,934,935,942,950,953,960,965,967,976,980,991,994,1007,1018,1026,1036,1045,1059,1082,1088,1104,1118,1130,1144,1158,1176,1198,1208,1215,1236,1264,1288,1300,1325,1350,1383,1400,1428,1451,1469,1504,1527,1540,1568,1589,1629,1673,1706,1738,1749,1756,1756,1823,1846,1889,1913,1957,1978,2006,2049,2102,2128,2155,2171,2180,2203,2243,2270,2307,2316,2346,2381,2403,2436,2477,2502,2534,2551,2574,2594,2594,2680,2710,2732,2749,2764,2794,2807,2836,2873,2909,2931,2957,2975,3009,3044,3077,3115,3145,3157,3171,3198,3226,3248,3265,3283,3295,3310,3338,3355
NY,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,8,9,9,9,14,81,137,225,341,439,545,787,899,1088,1311,1689,1952,2374,3009,3883,4453,5240,6028,6784,7802,8490,9342,9672,12091,12784,13490,13924,14310,15780,16379,17135,17834,18464,19102,19777,20255,20651,21041,21484,21850,22237,22675,23095,23367,23691,24638,25023,25307,25667,25935,26173,26427,26682,26924,27135,27391,27604,27748,27882,28065,28222,28390,28520,28663,28745,28854,28947,29072,29186,29226,29303,29465,29523,29605,29712,29791,29878,29942,29992,30055,30136,30202,30285,30347,30390,30436,30474,30522,30554,30648,30681,30735,30772,30821,30843,30876,30924,30964,30992,30992,31635,31647,31676,31698,31719,31757,31774,31796,31810,31843,31867,31887,31895,31937,31953,31976,31995,32007,32031,32049,32064,32084,32088,32131,32139,32157,32169,32180,32189,32202,32221,32234,32251,32265,32281,32287,32292,32301,32305,32314,32325,32331,32342,32348,32368,32378,32382,32393,32402,32408,32417,32424,32435,32445,32459,32468,32474,32477,32486,32494,32502,32513,32520,32527,32535,32548,32552,32560,32566,32577,32588,32592,32603,32604,32610,32614,32623,32623,32645,32652,32657,32663,32670,32672,32674,32675,32681,32692,32696,32704,32718,32724,32733,32746,32766,32773,32789,32800,32809,32829,32840,32846,32855,32861,32875,32886,32894,32914,32926,32937,32952,32968,32977,32982,32999,33017,33018,33038,33054,33070,33087,33107,33122,33134,33151,33165,33175,33198,33217,33240,33260,33273,33310,33346,33378,33405,33430,33458,33493,33518,33549,33588,33629,33673,33683,33741,33775,33824,33867,33931,33942,34022,34073,34120,34185,34251,34315,34375,34457,34514,34586,34654,34751,34838,34938,35035,35153,35236,35361,35468,35584,35722,35838,35957,35957,35957,35957,36487,36487,36487,36487,37025,37081,37081,37372,37561,37767,37908,38062,38213,38375,38570,38748,38938,39109,39291,39471,39671,39902,40095,40284,40469,40649,40824,41192,41398,41581,41752,41931,42117,42280,42486,42669,42857,43029,43210,43383,43546,43867,44022
NC,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,8,10,16,19,24,31,33,45,52,63,73,79,80,80,107,115,130,151,163,170,178,211,240,252,268,288,298,305,340,353,377,398,419,421,428,450,475,505,525,542,545,548,574,594,610,636,647,654,656,686,697,711,722,731,738,748,760,789,789,854,875,875,896,919,937,956,963,990,994,1005,1029,1046,1063,1091,1104,1109,1118,1153,1167,1175,1197,1212,1220,1223,1251,1271,1290,1292,1318,1322,1325,1343,1371,1389,1402,1395,1396,1398,1420,1440,1460,1478,1493,1503,1510,1551,1565,1565,1606,1629,1634,1642,1668,1698,1726,1746,1778,1785,1790,1820,1865,1903,1924,1964,1969,1982,2010,2050,2092,2134,2160,2168,2172,2204,2204,2287,2313,2343,2347,2348,2396,2431,2465,2494,2521,2531,2535,2570,2606,2630,2652,2683,2692,2702,2741,2779,2803,2803,2889,2890,2897,2909,2958,2990,3023,3047,3052,3060,3111,3149,3180,3207,3235,3243,3247,3286,3316,3356,3409,3440,3441,3445,3494,3532,3579,3608,3629,3634,3637,3670,3693,3722,3747,3765,3770,3773,3816,3856,3874,3910,3929,3934,3939,3992,3992,4082,4082,3992,3992,4167,4167,4167,4167,4167,4167,4167,4167,4455,4505,4548,4548,4548,4548,4614,4638,4696,4696,4719,4719,4719,4719,4719,4898,4898,4898,5005,5005,5039,5039,5138,5138,5138,5138,5138,5261,5261,5261,5410,5410,5515,5541,5557,5602,5657,5712,5750,5793,5821,5852,5881,5979,6059,6118,6182,6224,6224,6224,6224,6224,6224,6224,6224,6561,6574,6729,6748,6747,6891,6909,6940,6995,7076,7213,7327,7425,7566,7577,7636,7745,7823,7931,8015,8082,8082,8138,8199,8338,8463,8585,8694,8719,8775,8915,9046,9156,9287,9333,9342,9409,9578,9728
ND,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,4,4,5,7,7,8,9,9,9,9,9,9,10,13,13,14,15,15,16,17,19,19,19,19,23,24,25,25,25,31,31,33,34,35,36,38,40,40,42,42,43,44,45,49,51,52,52,53,54,54,56,57,59,59,59,61,65,66,66,71,72,72,72,72,73,74,74,74,74,74,74,74,75,76,76,77,77,78,78,78,78,78,79,79,79,80,80,80,80,80,80,84,85,85,85,87,87,87,88,88,89,90,90,92,93,94,96,97,99,99,99,99,100,102,103,103,103,105,105,107,108,109,110,112,112,113,118,120,120,121,121,125,126,128,130,130,132,135,136,137,138,138,139,139,141,142,143,145,148,150,150,155,156,156,156,157,160,164,167,168,170,172,172,182,184,192,192,193,196,203,211,211,211,211,234,239,246,256,264,271,274,277,280,304,310,321,336,339,345,357,365,370,388,399,404,408,412,422,431,440,448,456,460,476,488,499,512,524,531,540,556,568,596,613,628,639,644,674,686,697,707,726,735,742,768,785,795,817,834,840,846,882,887,887,887,915,920,927,954,966,977,989,1007,1013,1022,1064,1064,1064,1064,1064,1064,1064,1064,1064,1204,1204,1204,1231,1233,1238,1243,1260,1264,1264,1266,1270,1276,1276,1276,1309,1310,1310,1312,1329,1334,1341,1352,1352,1352,1352,1355,1357,1365,1373,1381,1384,1384,1386,1387,1399,1403,1411,1411,1411,1415,1415,1417,1419,1422,1422,1422,1422,1422,1422
OH,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,8,10,15,19,25,29,39,55,65,81,90,102,119,142,167,191,212,231,247,253,253,323,361,389,418,451,471,509,556,607,652,689,709,726,753,799,934,975,1002,1021,1038,1056,1132,1224,1271,1304,1331,1341,1357,1436,1482,1534,1580,1610,1625,1657,1720,1780,1834,1871,1951,1966,1984,1999,2040,2096,2129,2146,2151,2203,2256,2297,2336,2354,2370,2377,2403,2421,2457,2490,2508,2554,2557,2573,2596,2611,2633,2667,2697,2700,2704,2734,2754,2772,2788,2804,2807,2818,2863,2876,2876,2903,2907,2911,2927,2970,2991,3006,3032,3036,3058,3064,3069,3075,3103,3112,3132,3174,3189,3219,3235,3256,3297,3297,3307,3344,3382,3422,3442,3489,3515,3529,3539,3570,3596,3618,3652,3668,3669,3673,3708,3734,3755,3784,3824,3826,3832,3871,3907,3929,3955,3975,3978,3986,3996,4044,4076,4105,4261,4127,4138,4165,4176,4226,4248,4256,4259,4276,4298,4324,4354,4403,4411,4415,4419,4506,4555,4580,4608,4612,4615,4623,4635,4687,4715,4734,4740,4741,4746,4783,4804,4815,4905,4925,4925,4931,4947,4970,4983,4994,4997,4999,5005,5017,5033,5038,5054,5067,5067,5075,5083,5149,5161,5184,5206,5206,5217,5239,5256,5275,5291,5301,5303,5340,5373,5428,5461,5494,5506,5517,5524,5547,5623,5657,5700,5714,5722,5742,5742,5742,5742,5742,5742,5742,6020,6118,6273,6273,6273,6399,6399,6429,6548,6667,6752,6880,6943,6957,7015,7101,7186,7297,7421,7473,7492,7551,7654,7777,7894,7967,8023,8047,8122,8251,8361,8456,8456,8476,8509,8571,8722,8855,8962,8962,9017,9076,9143,9247,9247,9462,9544,9599,9627,9702,9802,9881,9989,10057,10134,10199,10280,10336,10409,10518,10599,10680,10711,10768,10856,10931,11006,11070,11121,11175,11230,11336,11430,11509
OK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,5,7,7,15,16,17,23,29,34,38,42,46,51,67,79,80,88,94,96,96,108,123,131,131,131,131,131,164,170,179,179,194,195,197,207,214,222,230,238,238,238,247,253,260,266,270,271,273,278,278,284,285,288,288,288,294,299,304,307,311,311,313,318,322,325,328,333,333,333,339,341,344,345,347,348,348,353,355,357,359,359,359,359,363,364,366,367,368,369,369,371,372,375,377,384,385,385,387,389,395,398,398,398,399,404,407,410,416,421,422,424,428,432,438,445,451,451,452,461,474,477,484,496,496,496,509,523,536,541,549,550,551,566,583,593,600,603,603,605,618,627,638,644,657,661,665,682,699,709,715,725,726,730,744,763,778,786,797,799,800,809,821,835,846,850,853,853,854,863,876,888,899,905,905,912,924,930,939,943,946,948,962,970,981,993,1004,1006,1007,1018,1031,1035,1044,1051,1055,1055,1066,1075,1085,1091,1095,1098,1104,1119,1132,1143,1154,1168,1171,1173,1191,1210,1221,1234,1245,1249,1251,1273,1286,1306,1326,1337,1345,1354,1375,1392,1413,1429,1429,1438,1444,1451,1470,1481,1493,1516,1528,1538,1544,1570,1588,1603,1603,1634,1649,1664,1680,1680,1704,1717,1736,1743,1758,1812,1836,1860,1874,1896,1911,1922,1945,1980,2007,2042,2064,2072,2086,2128,2144,2161,2189,2212,2218,2240,2283,2328,2328,2357,2370,2383,2405,2453,2489,2489,2527,2547,2552,2571,2571,2672,2703,2738,2761,2775,2804,2848,2882,2925,2952,2987,2994,3037,3085,3140,3187,3231,3279,3293,3323,3388,3423,3471,3504,3547,3564,3602,3654,3681
PA,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,7,11,16,22,34,38,48,63,74,90,102,136,150,162,240,309,338,415,491,507,507,584,647,647,756,836,1112,1204,1389,1413,1421,1491,1536,1549,1596,1715,2192,2290,2352,2417,2441,2454,3001,3094,3395,3586,3669,3687,3710,3785,3917,4120,4170,4203,4206,4493,4623,4765,4868,4984,5096,5124,5139,5152,5265,5373,5464,5536,5536,5536,5666,5741,5816,5885,5930,5942,5952,6013,6061,6112,6161,6210,6214,6243,6276,6319,6361,6399,6419,6423,6426,6464,6518,6556,6579,6602,6606,6614,6649,6685,6712,6746,6749,6753,6754,6787,6812,6848,6880,6897,6904,6911,6931,6957,6973,6992,7007,7015,7018,7038,7063,7079,7101,7114,7118,7122,7146,7176,7176,7189,7204,7209,7209,7232,7244,7282,7297,7313,7314,7317,7352,7385,7409,7445,7465,7468,7468,7499,7523,7538,7558,7576,7578,7579,7605,7624,7635,7655,7671,7673,7673,7691,7712,7732,7742,7760,7760,7780,7791,7805,7820,7837,7837,7837,7869,7875,7903,7913,7934,7956,7981,8004,8023,8062,8079,8081,8103,8106,8107,8123,8142,8158,8179,8199,8216,8227,8244,8272,8272,8272,8272,8368,8368,8368,8411,8432,8457,8466,8466,8500,8533,8562,8588,8625,8654,8666,8673,8696,8718,8762,8784,8812,8817,8823,8823,8890,8937,8975,9015,9020,9024,9086,9145,9193,9224,9274,9312,9325,9355,9465,9581,9689,9689,9842,9870,9951,10095,10213,10234,10275,10351,10383,10563,10757,10944,11113,11262,11331,11373,11542,11762,12010,12235,12436,12564,12620,12890,13168,13392,13608,13825,13924,13981,14212,14442,14718,14853,14879,15010,15086,15353,15672,15978,16214,16239,16295,16361,16546,16546,17179,17394,17667,17770,17853,18080,18429,18742,18957,19188,19310,19390,19467,19868,20128,20321,20526,20526,20664,20883,21105,21303,21462,21602,21661,21687,21812,21955,22101
SC,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,7,7,9,9,13,16,18,22,25,31,34,40,44,48,51,63,67,72,72,82,82,95,104,109,116,119,120,124,135,140,150,158,166,166,177,192,232,244,256,267,275,282,295,304,315,319,329,330,343,352,361,370,379,380,385,391,399,407,416,419,425,435,440,446,466,470,483,483,494,500,501,518,525,538,545,546,557,568,575,587,592,598,599,601,606,617,620,638,643,652,657,673,683,691,692,707,712,717,735,759,777,787,806,814,819,838,876,898,922,940,950,961,984,984,1053,1078,1117,1138,1147,1203,1242,1294,1339,1412,1436,1452,1505,1551,1600,1647,1683,1709,1721,1774,1819,1819,1819,1819,2031,2048,2098,2184,2184,2204,2260,2269,2288,2343,2360,2401,2459,2493,2504,2511,2529,2573,2628,2655,2698,2709,2720,2757,2794,2807,2846,2877,2887,2907,2912,2942,2975,3028,3040,3064,3077,3098,3132,3158,3177,3188,3199,3212,3243,3262,3279,3297,3323,3326,3337,3359,3378,3397,3409,3442,3453,3456,3471,3502,3514,3530,3551,3553,3559,3576,3593,3607,3615,3637,3650,3661,3696,3708,3755,3777,3793,3802,3820,3840,3873,3888,3895,3932,3933,3943,3966,3984,3991,4004,4015,4035,4040,4062,4076,4084,4101,4110,4112,4112,4112,4112,4200,4200,4200,4200,4288,4317,4317,4317,4346,4353,4353,4381,4403,4444,4466,4496,4517,4566,4579,4585,4612,4626,4673,4685,4739,4751,4756,4800,4843,4872,4895,4934,4961,4976,5028,5043,5043,5124,5155,5173,5198,5249,5296,5296,5384,5467,5483,5498,5498,5661,5695,5758,5811,5825,5859,5910,5933,6037,6108,6237,6248,6259,6328,6373,6404,6479,6547,6552,6578,6673,6903,6942,7014,7042,7283,7318,7394,7487
